time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,PassthroughCluster_load,adservice_load,cartservice_load,checkoutservice_load,currencyservice_load,emailservice_load,frontend_load,frontend-external_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,emailservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time,PassthroughCluster_error,frontend_error,frontend-external_error
1685227604,2.2074689679084716,5.424171254257379,1.327798972964203,8.62705087805211,0.7058927589044881,19.265406390078457,8.032101952145297,0.4853757596295391,10.7319613093462,5.434868843417287,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97759232.0,35704832.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,46.0,50.0,4.0,70.0,4.0,6.0,6.0,4.0,226.0,28.0,16.0,0.016107142857142816,0.05183246644031814,0.092,0.03323449033035578,0.0046,0.31116071428571457,0.004969230769230769,0.0274031680219833,0.0609090909090909,0.004984747361472916,1685227604,0.0,0.0,0.0
1685227605,2.2074689679084716,5.350732693996378,1.327798972964203,8.62705087805211,0.719615446424299,19.265406390078457,10.05823580737211,0.4853757596295391,10.7319613093462,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97767424.0,35704832.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,114.0,38.0,2.0,174.0,2.0,70.0,70.0,2.0,492.0,66.0,20.0,0.016107142857142896,0.05183230105296749,0.092,0.033234356764320405,0.0046,1.5697986577181235,0.00496923076923077,0.030725724124762793,0.060909090909090864,0.004984742263370929,1685227605,0.0,0.0,0.0
1685227606,2.2074689679084716,5.453670991302966,1.327798972964203,8.62705087805211,0.7249810172445451,19.265406390078457,10.05823580737211,0.4853757596295391,10.7319613093462,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97767424.0,35704832.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,32.0,82.0,0.0,208.0,2.0,28.0,28.0,0.0,382.0,60.0,10.0,0.016107142857142806,0.051832141674092926,0.09200000000000003,0.03323422805063468,0.0046,1.5697986577181247,0.004969230769230769,0.030725921863256442,0.060909090909090975,0.0049847373505966,1685227606,0.0,0.0,0.0
1685227607,2.2074689679084716,6.176297838395204,1.327798972964203,8.62705087805211,0.7112583297247341,19.265406390078457,10.05823580737211,0.4853757596295391,10.7319613093462,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97767424.0,35704832.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,22.0,52.0,0.0,254.0,0.0,30.0,30.0,0.0,304.0,36.0,32.0,0.01610714285714284,0.0518319879821854,0.09200000000000003,0.03323410392965635,0.0046,1.5697986577181204,0.004969230769230769,0.030726112691060074,0.06090909090909103,0.004984732613227123,1685227607,0.0,0.0,0.0
1685227608,2.2074689679084716,6.176297838395204,1.327798972964203,8.62705087805211,0.6975356422049231,19.265406390078457,10.05823580737211,0.3210828050000458,10.7319613093462,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97767424.0,35704832.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,48.0,104.0,12.0,324.0,12.0,38.0,38.0,12.0,256.0,46.0,30.0,0.029625000000000016,0.0633085375940558,0.15999999999999992,0.05408531779565859,0.0046,1.5697986577181198,0.008333333333333349,0.06707537234047575,0.10749999999999998,0.01573467310515311,1685227608,0.0,0.0,0.0
1685227609,2.2074689679084716,6.176297838395204,1.327798972964203,8.62705087805211,0.6838129546851123,19.265406390078457,10.05823580737211,0.6467815200860244,8.340372612733407,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97767424.0,35401728.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,44.0,86.0,4.0,244.0,4.0,34.0,34.0,4.0,514.0,66.0,22.0,0.029625000000000033,0.06330843790425145,0.16000000000000017,0.05408518220951665,0.0046,1.569798657718123,0.008333333333333331,0.06707563701286641,0.10750000000000007,0.01573445857617297,1685227609,0.0,0.0,0.0
1685227610,2.2074689679084716,6.176297838395204,1.327798972964203,8.62705087805211,0.6700902671653014,19.265406390078457,10.05823580737211,0.6598004717785774,8.521267560540101,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38219776.0,42549248.0,24682496.0,97767424.0,35401728.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,68.455,82.846,0.0,249.691,0.0,48.0,50.813,0.0,388.569,60.52,16.033,0.029624999999999985,0.063302752293578,0.16000000000000023,0.05407744874715284,0.0046,2.1598765432098763,0.008333333333333342,0.06709100204498974,0.10750000000000015,0.015722222222222228,1685227610,0.0,0.0,0.0
1685227611,2.2074689679084716,6.176297838395204,1.327798972964203,12.081657995279658,0.6563675796454903,19.265406390078457,10.05823580737211,0.7811371015531697,8.702162508346795,8.689784800400776,0.48868335438295096,1.2733118719222967,99328000.0,58580992.0,11898880.0,38223872.0,42549248.0,24682496.0,97767424.0,35401728.0,9830400.0,48615424.0,3141632.0,9359360.0,0.0,42.0,38.0,4.0,164.0,4.0,30.0,30.0,6.0,306.0,18.0,14.0,0.029624999999999985,0.063302752293578,0.16000000000000023,0.05407744874715284,0.0046,2.1598765432098763,0.008333333333333342,0.06673780487804874,0.10750000000000015,0.015722222222222228,1685227611,0.0,0.0,0.0
1685227612,2.364097213533901,6.176297838395204,1.327798972964203,12.081657995279658,0.8411732978404135,19.259868817369373,10.05823580737211,0.7811371015531697,8.88305745615349,8.689784800400776,0.48868335438295096,1.1863639814070597,99328000.0,58580992.0,11898880.0,38223872.0,42549248.0,26169344.0,97767424.0,35401728.0,9830400.0,48615424.0,3141632.0,9125888.0,0.0,22.0,44.0,6.0,190.0,6.0,22.0,22.0,6.0,288.0,32.0,32.0,0.032571428571428584,0.06951834862385328,0.18700000000000017,0.06448747152619586,0.0046,2.1598765432098763,0.009833333333333355,0.07354166666666666,0.12380434782608706,0.017833333333333302,1685227612,0.0,0.0,0.0
1685227613,2.364097213533901,6.176297838395204,1.327798972964203,12.081657995279658,0.8411732978404135,16.468903636374506,11.134073963890254,0.7811371015531697,9.063952403960183,8.689784800400776,0.48868335438295096,1.1863639814070597,99328000.0,58580992.0,11898880.0,38223872.0,42549248.0,26169344.0,97767424.0,35401728.0,9830400.0,48615424.0,3141632.0,9125888.0,0.0,34.0,56.0,0.0,88.0,0.0,30.0,30.0,0.0,310.0,52.0,12.0,0.040600558659217884,0.08209507042253524,0.3250000000000001,0.08949189985272457,0.0046,2.1598765432098763,0.01680769230769231,0.08627951256664125,0.14776639344262305,0.022421875000000036,1685227613,0.0,0.0,0.0
1685227614,2.364097213533901,6.176297838395204,1.085357984321807,12.081657995279658,0.8411732978404135,19.33272456922974,11.134073963890254,0.7811371015531697,9.244847351766877,8.689784800400776,0.45367795271434397,1.1863639814070597,99328000.0,58580992.0,11898880.0,38223872.0,42549248.0,26169344.0,97767424.0,35401728.0,9830400.0,48615424.0,3010560.0,9125888.0,0.0,52.0,36.0,6.0,206.0,6.0,30.0,30.0,6.0,260.0,42.0,16.0,0.040600558659217884,0.08209507042253524,0.3250000000000001,0.08949189985272457,0.0046,2.1598765432098763,0.01680769230769231,0.08627951256664125,0.14776639344262305,0.022421875000000036,1685227614,0.0,0.0,0.0
1685227615,2.364097213533901,6.176297838395204,1.085357984321807,12.081657995279658,0.8411732978404135,19.33272456922974,11.134073963890254,0.7811371015531697,8.110123493333452,8.689784800400776,0.45367795271434397,1.1353211148996538,99328000.0,58580992.0,11898880.0,38223872.0,42549248.0,26169344.0,97767424.0,35401728.0,9830400.0,48615424.0,3010560.0,9125888.0,0.0,60.0,76.0,0.0,228.0,0.0,70.0,70.0,0.0,470.0,44.0,18.0,0.040600558659217884,0.08209507042253524,0.3250000000000001,0.08949189985272457,0.0046,2.571428571428575,0.01680769230769231,0.086995430312262,0.14776639344262305,0.022421875000000036,1685227615,0.0,0.0,0.0
