time,paymentservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,adservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,paymentservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,adservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,paymentservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,adservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,paymentservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,adservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,paymentservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,adservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692585876,0.9939143270464128,5.74114732744378,0.8515419914541217,7.117473718650255,0.6060631858808384,13.067820766856734,7.699991418015652,0.2817938554412381,7.697148582538866,4.25842814442296,0.4542492325498259,0.9369339179033052,95739904,41132032,11579392,41656320,42356736,16084992,121290752,37289984,9678848,48021504,3055616,11149312,40.0,84.0,8.0,262.0,8.0,50.0,44.0,8.0,588.0,54.0,44.0,0,0,0.0010725758477096,0.0031033434650455,0.0411057692307692,0.0004074235607382,0.003,0.0210735923022095,0.002290909090909,0.000328936128907,0.0032523724031803,0.0004472111553784,0.0042183224271267,0.004786018237082,0.21109375,0.0040216079655223,0.0046,0.0758629032258065,0.1611842105263158,0.0033604379198805,0.0056834625322997,0.0041046894803548
1692585877,0.9939143270464128,5.74114732744378,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.285117616306971,7.806276484973849,4.25842814442296,0.4542492325498259,0.9369339179033052,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3055616,11149312,56.0,112.0,6.0,270.0,6.0,44.0,50.0,6.0,658.0,78.0,36.0,0,0,0.0010852211434735,0.0030706626823694,0.0404605263157894,0.000405016208129,0.003,0.0208122081387591,0.002290909090909,0.0003233179250128,0.0032223340040241,0.0004557956777996,0.0042204962243797,0.004727192828265,0.2080468749999999,0.0040069021961533,0.0046,0.067018544935806,0.1611842105263158,0.0032535552193645,0.0050025974025974,0.0041252694610778
1692585878,0.9939143270464128,5.74114732744378,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.806276484973849,4.25842814442296,0.4542492325498259,0.9369339179033052,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3055616,11149312,66.0,130.0,2.0,364.0,0.0,72.0,62.0,2.0,668.0,102.0,38.0,0,0,0.0010852211434735,0.003067524653184,0.039,0.0004053071232648,0.003,0.0208122081387591,0.0022032520325203,0.0003253540245065,0.0032147811528342,0.0004580058939096,0.0042204962243797,0.0047215443757312,0.194655172413793,0.0040076231962973,0.0046,0.067018544935806,0.1310344827586207,0.0032902133922001,0.0049866060751016,0.0041303317535545
1692585879,0.9939143270464128,4.753095872390705,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.806276484973849,4.25842814442296,0.4537023022861368,0.9369339179033052,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,11149312,24.0,16.0,0.0,112.0,0.0,6.0,22.0,0.0,260.0,16.0,4.0,0,0,0.0010852211434735,0.003067524653184,0.039,0.0004053071232648,0.003,0.0208122081387591,0.0022032520325203,0.0003253540245065,0.0032147811528342,0.0004580058939096,0.0042204962243797,0.0047215443757312,0.194655172413793,0.0040076231962973,0.0046,0.067018544935806,0.1310344827586207,0.0032902133922001,0.0049866060751016,0.0041303317535545
1692585880,0.9939143270464128,5.864541007535821,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.806276484973849,4.25842814442296,0.4537023022861368,0.9369339179033052,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,11149312,80.0,138.0,6.0,490.0,6.0,70.0,68.0,6.0,648.0,80.0,34.0,0,0,0.0010852211434735,0.003067524653184,0.039,0.0004053071232648,0.003,0.0208122081387591,0.0023719008264462,0.0003253540245065,0.0032147811528342,0.0004580058939096,0.0042204962243797,0.0047215443757312,0.194655172413793,0.0040076231962973,0.0046,0.067018544935806,0.1377586206896551,0.0032902133922001,0.0049866060751016,0.0041303317535545
1692585881,0.9939143270464128,5.864541007535821,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.806276484973849,4.276200390483569,0.4537023022861368,0.9369339179033052,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,11149312,60.0,110.0,8.0,330.0,8.0,46.0,58.0,8.0,592.0,84.0,42.0,0,0,0.0010854300760678,0.0030663424800277,0.0373999999999999,0.0004070814479638,0.003,0.0208222881060341,0.0023070866141732,0.0003239837552662,0.0032124999999999,0.0004497487437185,0.0042208308952603,0.00471941646405,0.1792857142857142,0.0040168328445747,0.0046,0.0667720588235293,0.131551724137931,0.0032654949599379,0.0049824999999999,0.0041111111111111
1692585882,0.9939143270464128,5.864541007535821,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.806276484973849,4.276200390483569,0.4537023022861368,0.9261772658804628,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,8998912,56.0,94.0,0.0,370.0,0.0,54.0,58.0,0.0,538.0,64.0,28.0,0,0,0.0010832882639264,0.0030748287370454,0.037215909090909,0.000408283408221,0.003,0.0207518357810413,0.0023070866141732,0.0003240929852575,0.0032298908906368,0.0004573050345508,0.0042201189832341,0.0047346917266818,0.1760714285714285,0.0040291309012875,0.0046,0.0665138282387191,0.131551724137931,0.0032671042665993,0.0051704260651629,0.0041325358851674
1692585883,0.9939143270464128,5.864541007535821,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.806276484973849,4.276200390483569,0.4537023022861368,0.9261772658804628,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,8998912,80.0,144.0,4.0,344.0,4.0,64.0,72.0,4.0,762.0,124.0,40.0,0,0,0.0010832882639264,0.0030786573995592,0.0353860294117647,0.0004077633549675,0.003,0.0207518357810413,0.0021111111111111,0.0003255319543986,0.0032250913520097,0.0004536031589338,0.0042201189832341,0.0047415833192066,0.1351923076923075,0.0040268030139935,0.0046,0.0665138282387191,0.0047303703703703,0.003292966815255,0.0050649509803921,0.0041239951278928
1692585884,0.9939143270464128,5.864541007535822,0.9194330921891528,7.117473718650255,0.7114647057463039,15.469809492403636,7.699991418015652,0.3369133671546817,7.801664670236762,4.276200390483569,0.4537023022861368,0.9261772658804628,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,8998912,44.0,88.0,2.0,218.0,0.0,52.0,40.0,2.0,482.0,62.0,22.0,0,0,0.0010832882639264,0.0030786573995592,0.0353860294117647,0.0004077633549675,0.003,0.0207518357810413,0.0021111111111111,0.0003255319543986,0.0032250913520097,0.0004536031589338,0.0042201189832341,0.0047415833192066,0.1351923076923075,0.0040268030139935,0.0046,0.0665138282387191,0.0047303703703703,0.003292966815255,0.0050649509803921,0.0041239951278928
1692585885,0.9939143270464128,5.864541007535822,0.9458639667178912,7.117473718650255,0.7114647057463039,15.46980949240364,7.699991418015652,0.3369133671546817,7.801664670236762,4.276200390483569,0.4537023022861368,0.9261772658804628,95739904,41132032,11624448,41656320,42356736,16084992,121290752,38035456,9715712,48021504,3051520,8998912,54.0,118.0,4.0,346.0,4.0,62.0,58.0,4.0,592.0,84.0,38.0,0,0,0.0010832882639264,0.0030786573995592,0.0353860294117647,0.0004077633549675,0.003,0.0207518357810413,0.0022424242424242,0.0003255319543986,0.0032250913520097,0.0004536031589338,0.0042201189832341,0.0047415833192066,0.1351923076923075,0.0040268030139935,0.0046,0.0665138282387191,0.0047636363636363,0.003292966815255,0.0050649509803921,0.0041239951278928
