time,paymentservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,adservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,paymentservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,adservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,paymentservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,adservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,paymentservice_error,frontend_error,frontend-external_error,paymentservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,adservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,paymentservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,adservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692611829,0.9928784029856688,3.648621026093958,0.9439799419202594,6.6874941643655,0.5862871001573039,13.737775023498957,6.070749909008227,0.29533155792884,6.665135839560202,4.726082743457463,0.3029252923162617,0.8792224234315766,93061120,40857600,11239424,40026112,42090496,17911808,64393216,35606528,9154560,45559808,3063808,8998912,54.0,100.0,8.0,290.0,8.0,40.0,48.0,4.0,486.0,72.0,14.0,0,0,0,0.0003585397653194,0.0021325815300213,0.0241428571428571,0.0018130661542684,0.0026666666666666,0.0362874251497005,0.0017333333333333,0.0003229780502274,0.0035146198830409,0.0003879629629629,0.003753086419753,0.0049502590673575,0.879166666666667,0.1393420514916223,0.0045333333333333,0.6772511848341228,0.0043466666666666,0.0033397213534262,0.0096487603305785,0.0038751677852348
1692611830,0.9954328011527276,4.129946238385592,0.9439799419202594,6.6874941643655,0.5862871001573039,13.737775023498957,6.070749909008227,0.3668509169044464,6.665135839560202,4.726082743457463,0.3029252923162617,0.8792224234315766,93061120,40710144,11239424,40026112,42090496,17911808,64393216,35217408,9154560,45559808,3063808,8998912,56.0,88.0,0.0,378.0,0.0,44.0,50.0,0.0,402.0,60.0,22.0,0,0,0,0.0003569358178053,0.0021325815300213,0.0241428571428571,0.0018130661542684,0.0026666666666666,0.0362874251497005,0.0015454545454545,0.0003229780502274,0.0035146198830409,0.0003879629629629,0.0037363817097415,0.0049502590673575,0.879166666666667,0.1393420514916223,0.0045333333333333,0.6772511848341228,0.0043090909090909,0.0033397213534262,0.0096487603305785,0.0038751677852348
1692611831,0.9710293920344256,3.7137699386776974,0.9439799419202594,6.6874941643655,0.5862871001573039,13.737775023498957,6.062659479617695,0.3668509169044464,5.593573592019294,4.726082743457463,0.3029252923162617,0.8792224234315766,93061120,40710144,11239424,40026112,42090496,17911808,64405504,35217408,9154560,45559808,3063808,8998912,48.0,56.0,0.0,206.0,0.0,46.0,28.0,0.0,376.0,50.0,10.0,0,0,0,0.0003539625053259,0.0020834138486312,0.0234070796460177,0.0016439983613273,0.0026723163841807,0.0326347305389221,0.0015984251968503,0.0003275559549792,0.0035283018867924,0.0003943731490621,0.0037131717597471,0.004970112721417,0.8136363636363633,0.1050027700831027,0.0045344632768361,0.5921052631578946,0.00431968503937,0.0034264232942199,0.0097642105263157,0.0039073504273504
1692611832,0.9710293920344256,3.7137699386776974,0.9439799419202594,6.500639404253551,0.5862871001573039,13.737775023498957,6.062659479617695,0.3215994988568329,5.708708564659156,4.726082743457463,0.3029252923162617,0.8792224234315766,93061120,40710144,11239424,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3063808,8998912,72.0,128.0,6.0,532.0,6.0,74.0,62.0,8.0,676.0,84.0,42.0,0,0,0,0.0003590194455937,0.0021597669426556,0.0232024793388429,0.0017668796191907,0.0026444444444444,0.0311056105610561,0.0015984251968503,0.0003246152328334,0.0035623081645181,0.0003906818181818,0.0037667318982387,0.0062872340425532,0.7886363636363631,0.0948469387755094,0.0045288888888888,0.5621026894865524,0.00431968503937,0.0033687872487872,0.0099760479041916,0.0038891760904684
1692611833,0.9710293920344256,3.7137699386776974,0.9439799419202594,6.500639404253551,0.5862871001573039,13.737775023498957,6.062659479617695,0.3215994988568329,6.908098358391768,4.726082743457463,0.2927590260623141,0.8792224234315766,93061120,40710144,11239424,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3194880,8998912,0.0,4.0,0.0,68.0,0.0,0.0,2.0,0.0,60.0,0.0,0.0,0,0,0,0.0003590194455937,0.0021597669426556,0.0232024793388429,0.0017608695652173,0.0026444444444444,0.0311056105610561,0.0015984251968503,0.00032636148382,0.0035526547374596,0.0003906818181818,0.0037667318982387,0.0062872340425532,0.7886363636363631,0.0892346938775508,0.0045288888888888,0.5621026894865524,0.00431968503937,0.0033985928832363,0.0102023255813954,0.0038891760904684
1692611834,0.9710293920344256,3.7137699386776974,0.9439799419202596,6.500639404253551,0.5862871001573039,13.737775023498957,6.062659479617695,0.3215994988568329,6.908098358391768,4.629597266462746,0.2927590260623141,0.8792224234315766,93061120,40710144,11239424,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3194880,8998912,110.0,218.0,12.0,488.0,12.0,84.0,128.0,12.0,1328.0,190.0,80.0,0,0,0,0.0003645104895104,0.0021597669426556,0.0232024793388429,0.0017608695652173,0.0026444444444444,0.0311056105610561,0.0016451612903225,0.00032636148382,0.0035526547374596,0.0003906818181818,0.0038125984251968,0.0062872340425532,0.7886363636363631,0.0892346938775508,0.0045288888888888,0.5621026894865524,0.0043290322580645,0.0033985928832363,0.0102023255813954,0.0038891760904684
1692611835,0.9710293920344256,3.7137699386776974,0.9439799419202596,6.500639404253551,0.5025099306953815,13.737775023498957,6.062659479617695,0.3215994988568329,6.908098358391768,4.629597266462746,0.2927590260623141,0.8792224234315766,93061120,40710144,11239424,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3194880,8998912,22.0,48.0,4.0,304.0,4.0,40.0,28.0,6.0,254.0,26.0,26.0,0,0,0,0.0003602728400165,0.0021597669426556,0.0232024793388429,0.0017608695652173,0.0026444444444444,0.0311056105610561,0.0015,0.00032636148382,0.0035526547374596,0.0003906818181818,0.0037764251207729,0.0062872340425532,0.7886363636363631,0.0892346938775508,0.0045288888888888,0.5621026894865524,0.0043,0.0033985928832363,0.0102023255813954,0.0038891760904684
1692611836,0.9710293920344256,3.7137699386776974,0.9439799419202596,6.500639404253551,0.4927384790260932,13.737775023498957,6.062659479617695,0.3215994988568329,6.908098358391768,4.629597266462746,0.2927590260623141,0.8792224234315766,93061120,40710144,11239424,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3194880,8998912,46.0,56.0,0.0,226.0,0.0,46.0,32.0,0.0,384.0,46.0,16.0,0,0,0,0.0003588675213675,0.0021104632329122,0.0225,0.0016028315946348,0.0026404494382022,0.0273239823982398,0.001546875,0.0003314352740456,0.0035565006075334,0.0003956123432979,0.0037683890577507,0.0079130434782608,0.6388888888888893,0.0075851063829787,0.0045280898876404,0.4856416275430363,0.0043093749999999,0.0034859613009468,0.0110654205607477,0.0039132450331125
1692611837,0.9710293920344256,3.7137699386776974,0.9224391424619748,6.500639404253551,0.4829670273568048,13.737775023498957,6.062659479617695,0.3215994988568329,6.908098358391768,3.910189187975804,0.2927590260623141,0.8792224234315766,93061120,40710144,11251712,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3194880,8998912,56.0,108.0,4.0,276.0,4.0,48.0,50.0,2.0,586.0,74.0,28.0,0,0,0,0.0003653283145127,0.0022193939393939,0.02275,0.0017220636913594,0.0026256684491978,0.0279667328699106,0.001546875,0.0003301689429225,0.0036007371007371,0.0003913139329805,0.0038410933081998,0.0318518518518523,0.6083333333333331,0.0070342789598108,0.0045251336898395,0.4842085235920852,0.0043093749999999,0.0034601364396962,0.0128684210526315,0.0038923556942277
1692611838,0.9710293920344256,3.7137699386776974,0.9224391424619748,6.500639404253551,0.4915624094135182,11.179268616494308,6.129006389873315,0.3215994988568329,6.908098358391768,3.987835985375306,0.2927590260623141,0.8792224234315766,93061120,40710144,11251712,40996864,42090496,17911808,64405504,35217408,9154560,45559808,3194880,8998912,70.0,124.0,2.0,376.0,2.0,50.0,60.0,2.0,682.0,90.0,38.0,0,0,0,0.0003653283145127,0.0022193939393939,0.02275,0.0017328278827656,0.0026256684491978,0.0279667328699106,0.001546875,0.0003318662666771,0.0036001770433756,0.0003913139329805,0.0038410933081998,0.0318518518518523,0.6083333333333331,0.0070133928571428,0.0045251336898395,0.4842085235920852,0.0043093749999999,0.0034848255887167,0.013077922077922,0.0038923556942277
