time,paymentservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,adservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,paymentservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,adservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,paymentservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,adservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,paymentservice_error,frontend_error,frontend-external_error,productcatalogservice_error,paymentservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,adservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,paymentservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,adservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692659994,0.8444855403777087,3.9685983508543696,0.8096382018507512,6.319620622436108,0.5706760176719918,11.59156721287067,6.258281428431424,0.3667560245781734,5.482473181101423,5.082811587436156,0.2616435314252301,0.7691889205256929,96227328,43040768,14266368,44630016,42127360,19554304,127639552,34193408,9469952,50028544,3219456,9027584,54.0,52.0,4.0,216.0,4.0,46.0,46.0,2.0,462.0,40.0,24.0,0,0,0,0,0.0003471528471528,0.0019580071174377,0.3951612903225806,0.001777944054334,0.0026764705882352,1.4535641842944074,0.002735294117647,0.1061007505117125,0.1814465898473995,0.0003881952326901,0.0035806451612903,0.0046193594306049,1.8419354838709676,0.0044579947047312,0.004535294117647,2.301492321066358,0.0045941176470588,0.2212201501023425,0.2466038617253192,0.003894214876033
1692659995,0.8444855403777087,3.9685983508543696,0.7529425352392393,6.319620622436108,0.5706760176719918,11.59156721287067,6.258281428431424,0.3054470494464467,5.482473181101423,5.082811587436156,0.2616435314252301,0.7691889205256929,96227328,43040768,13971456,44630016,42127360,19554304,127639552,34193408,9469952,50028544,3219456,9027584,28.0,80.0,0.0,268.0,0.0,32.0,46.0,0.0,442.0,70.0,16.0,0,0,0,0,0.0003443589743589,0.0019749903809157,0.396551724137931,0.0016942979767014,0.0026764705882352,1.4524886877828056,0.002735294117647,0.0004938266841577,0.1816276803118908,0.000382911392405,0.003550613915416,0.0046387841477491,1.85,0.0044416676885346,0.004535294117647,2.3017194570135744,0.0045941176470588,0.2187727716330514,0.2469298245614035,0.0038662309368191
1692659996,0.8444855403777087,3.9685983508543696,0.7529425352392393,6.319620622436108,0.5706760176719918,11.845689242332922,6.258281428431424,0.3116811397992072,5.482473181101422,5.082811587436156,0.2616435314252301,0.7691889205256929,96227328,43040768,13971456,44630016,42127360,19701760,127639552,34193408,9469952,50028544,3219456,9027584,56.0,92.0,2.0,288.0,2.0,38.0,52.0,4.0,414.0,56.0,28.0,0,0,0,0,0.0003489244622311,0.0019578651685393,0.3939393939393938,0.0018445266443185,0.0026764705882352,1.4521230502599654,0.0027538461538461,0.1000281806567971,0.1813622291021672,0.0003911698537682,0.0036055979643765,0.0046140449438202,1.8419354838709676,0.0044580510923592,0.004535294117647,2.301516464471404,0.0046,0.2200056361313594,0.2464520123839009,0.0039090180360721
1692659997,0.8444855403777087,3.9685983508543696,0.7529425352392393,6.319620622436108,0.5706760176719918,11.845689242332922,6.258281428431424,0.3740454211656361,5.482473181101422,5.082811587436156,0.2616435314252301,0.7691889205256929,96227328,43040768,13971456,44630016,42127360,19701760,127639552,34193408,9469952,50028544,3219456,9027584,42.0,60.0,0.0,166.0,0.0,42.0,30.0,0.0,480.0,68.0,16.0,0,0,0,0,0.0003489244622311,0.0019519774011299,0.3916666666666667,0.0017300206091138,0.00265625,1.4508110543706816,0.0027480314960629,0.0070000000000003,0.1813622291021672,0.0003866704161979,0.0036055979643765,0.0046141242937853,1.8379310344827584,0.0044354018777192,0.00453125,2.3013367377590868,0.0046,0.2199819358723468,0.2464520123839009,0.0038861283643892
1692659998,0.8444855403777087,3.9685983508543696,0.7529425352392393,6.319620622436108,0.5706760176719918,11.845689242332922,6.258281428431424,0.3740454211656361,5.450027076894184,5.082811587436156,0.2616435314252301,0.7742901436533549,96227328,43040768,13971456,44630016,42127360,19701760,127639552,34193408,9469952,50028544,3219456,9027584,48.0,88.0,4.0,262.0,4.0,32.0,56.0,4.0,466.0,48.0,26.0,0,0,0,0,0.0003490518962075,0.0019556650246305,0.3825757575757575,0.0017319080827712,0.002676923076923,1.4502587694077056,0.0027575757575757,0.0041271781361193,0.1811833171677982,0.0003894825646794,0.0036068441064638,0.0046140745953553,1.812068965517241,0.0044356465073739,0.0045353846153846,2.300747556066705,0.0046,0.2198112252472637,0.2461299709020368,0.0039006085192697
1692659999,0.8444855403777087,3.9685983508543696,0.7529425352392393,6.319620622436108,0.4915454469771294,11.845689242332922,6.258281428431424,0.3740454211656361,5.450027076894184,5.082811587436156,0.2616435314252301,0.7742901436533549,96227328,43040768,13971456,44630016,42127360,19701760,127639552,34193408,9469952,50028544,3219456,9027584,48.0,94.0,8.0,174.0,8.0,36.0,34.0,4.0,438.0,54.0,18.0,0,0,0,0,0.0003490518962075,0.0019556650246305,0.3825757575757575,0.0017319080827712,0.002676923076923,1.4502587694077056,0.0027575757575757,0.1065374482499059,0.1809027777777777,0.0003894825646794,0.0036068441064638,0.0046140745953553,1.812068965517241,0.0044356465073739,0.0045353846153846,2.300747556066705,0.0046,0.2213074896499811,0.245625,0.0039006085192697
1692660000,0.8444855403777087,4.23972480805722,0.7529425352392393,6.240345838950645,0.4820341800159295,11.845689242332922,6.135590746027996,0.3740454211656361,5.450027076894184,5.082811587436156,0.2616435314252301,0.7742901436533549,96227328,43044864,13971456,46288896,42127360,19701760,127639552,34193408,9469952,50028544,3219456,9027584,58.0,78.0,0.0,270.0,0.0,40.0,40.0,0.0,452.0,62.0,16.0,0,0,0,0,0.0003464730290456,0.0019811465948441,0.3830645161290323,0.0016392156862745,0.002676923076923,1.4495481927710845,0.0027575757575757,0.0004950938566552,0.1807004830917874,0.0003832369942196,0.0035807848443843,0.0046375529049634,1.7944444444444447,0.0044211764705882,0.0045353846153846,2.3007530120481934,0.0046,0.2188113852919619,0.2452608695652174,0.0038618736383442
1692660001,0.7844448607391774,4.59608365544131,0.7529425352392393,6.240345838950645,0.4725229130547296,11.845689242332922,6.135590746027996,0.3338049441268197,5.634446010337281,5.082811587436156,0.2616435314252301,0.7742901436533549,96227328,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50028544,3219456,9027584,42.0,88.0,4.0,262.0,4.0,44.0,44.0,2.0,452.652,60.0,28.0,0,0,0,0,0.0003508024072216,0.0019747013352073,0.3709677419354839,0.0018243543297884,0.002676923076923,1.4509069968327095,0.002765625,0.0233350840336128,0.1804625076828518,0.0003865950226244,0.003624280350438,0.0046164441321152,1.7928571428571427,0.0044576136496435,0.0045353846153846,2.30054707745465,0.004603125,0.2199984922275997,0.2448325138291333,0.0038858333333333
1692660002,0.901042227928159,4.59608365544131,0.7529425352392393,6.240345838950645,0.4630116460935298,11.845689242332922,6.135590746027996,0.3338049441268197,5.634446010337281,5.103205030957325,0.2616435314252301,0.7742901436533549,96227328,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50028544,3219456,9027584,36.0,62.0,2.0,256.0,2.0,44.0,34.0,2.0,430.0,54.0,32.0,0,0,0,0,0.0003508024072216,0.0019714487134296,0.3708333333333333,0.0017283464566929,0.002664,1.4521292660827545,0.00275,0.0085000000000021,0.1804625076828518,0.0003837669683257,0.003624280350438,0.0046164962989072,1.7944444444444447,0.004437563686892,0.0045328,2.300936273029296,0.0045749999999999,0.2199830021908287,0.2448325138291333,0.0038706382978723
1692660003,0.901042227928159,4.59608365544131,0.7529425352392393,6.240345838950645,0.4535003791323299,11.845689242332922,6.135590746027996,0.3338049441268197,5.634446010337281,5.103205030957325,0.2242662993859613,0.7742901436533549,96227328,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50028544,3219456,9027584,48.0,90.0,0.0,216.0,0.0,48.0,52.0,2.0,436.0,60.0,16.0,0,0,0,0,0.0003515388496468,0.0019747013352073,0.3669354838709677,0.0017302578332755,0.0026589147286821,1.4554962492787074,0.0027575757575757,0.0042492836676217,0.1805912596401028,0.0003860294117647,0.0036347934918648,0.0046164441321152,1.7982142857142855,0.0044378078390565,0.0045317829457364,2.3011396422388914,0.0045757575757575,0.2198247957859379,0.2450642673521851,0.0038828451882845
1692660004,0.890469769053556,4.59608365544131,0.7529425352392393,6.240345838950645,0.5590322041100788,11.845689242332922,6.135590746027996,0.3338049441268197,5.634446010337281,5.103205030957324,0.2199055738622075,0.7772194248187796,96292864,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50028544,3219456,9031680,38.0,66.0,0.0,166.0,0.0,42.0,28.0,0.0,486.0,68.0,26.0,0,0,0,0,0.0003515388496468,0.0019747013352073,0.3669354838709677,0.0017302578332755,0.0026589147286821,1.4554962492787074,0.0027575757575757,0.1064358490566037,0.180358785648574,0.0003860294117647,0.0036347934918648,0.0046164441321152,1.7982142857142855,0.0044378078390565,0.0045317829457364,2.3011396422388914,0.0045757575757575,0.2212871698113207,0.2446458141674332,0.0038828451882845
1692660005,0.890469769053556,4.59608365544131,0.7264132761823078,6.240345838950645,0.5217696498942109,11.845689242332922,6.273216224834109,0.3338049441268197,5.634446010337281,5.103205030957324,0.2661203873473526,0.7772194248187796,96292864,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50028544,3219456,9031680,38.0,94.0,0.0,312.0,0.0,38.0,40.0,6.0,434.0,50.0,28.0,0,0,0,0,0.0003469547110879,0.0019857747020376,0.3588709677419355,0.0016356184798807,0.0026589147286821,1.4572289156626506,0.0027575757575757,0.0004951124903025,0.1804790131368151,0.0003795662100456,0.003589445196211,0.0046395232602845,1.7788461538461549,0.0044248882265275,0.0045317829457364,2.3015662650602406,0.0045757575757575,0.2188480312398308,0.2448622236462672,0.0038470066518847
1692660006,0.890469769053556,4.59608365544131,0.7264132761823078,6.353626248449995,0.5217696498942109,12.257559969134771,6.273216224834109,0.3338049441268197,5.634446010337281,5.103205030957324,0.2661203873473526,0.7772194248187796,96292864,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50028544,3219456,9031680,48.112,80.0,4.0,292.0,4.0,46.0,38.0,4.0,524.0,58.0,30.0,0,0,0,0,0.0003505664924218,0.0019624481468746,0.3602934084913304,0.0018114094459446,0.002658831348885,1.457000638919288,0.0027818218160149,0.100098580412998,0.180306307270832,0.0003855799149541,0.0036320175583108,0.0046197208595473,1.7499936938754923,0.0044551439199392,0.004531766269777,2.301080328980708,0.0045814068072783,0.2200197160825996,0.2445513530874977,0.003880171194165
1692660007,0.890469769053556,4.59608365544131,0.7264132761823078,6.353626248449995,0.5217696498942109,12.257559969134771,6.273216224834109,0.3338049441268197,5.634446010337281,5.224625982206497,0.2661203873473526,0.7772194248187796,96292864,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50024448,3219456,9031680,46.0,72.0,2.0,208.0,2.0,40.0,40.0,2.0,470.0,62.0,16.0,0,0,0,0,0.0003505604634443,0.0019576774214363,0.3529413291924851,0.0016879082356488,0.0026421886836718,1.4580456434676272,0.0027199707013051,0.0172165944136247,0.1803063101220632,0.000382232505618,0.0036319581448125,0.0046198136364592,1.691303880594398,0.0044309516293993,0.0045284377367343,2.3016779348643404,0.004543994140261,0.2199929401007038,0.2445513582197139,0.0038618322776386
1692660008,0.890469769053556,4.59608365544131,0.7264132761823078,6.353626248449995,0.5217696498942109,12.257559969134771,6.273216224834109,0.3338049441268197,5.634446010337281,5.224625982206497,0.2700676105923504,0.7772194248187796,96292864,43044864,13971456,46288896,42127360,19701760,127639552,33779712,9400320,50024448,3219456,9031680,44.0,88.0,4.0,294.0,4.0,32.0,44.0,4.0,448.0,62.0,24.0,0,0,0,0,0.0003503256513026,0.0019636427815037,0.3541666666666666,0.0016914930757593,0.002731343283582,1.4555873925501432,0.002735294117647,0.0043432835820895,0.1805475504322766,0.000386692650334,0.0036295081967213,0.0046197670314154,1.6750000000000005,0.0044317700453857,0.0045462686567164,2.3007449856733526,0.0045470588235294,0.219848901098901,0.2449855907780979,0.0038860655737704
1692660009,0.890469769053556,4.59608365544131,0.7051938338415293,6.353626248449995,0.5217696498942109,12.257559969134771,6.273216224834109,0.3338049441268197,5.634446010337281,5.224625982206497,0.2700676105923504,0.7772194248187796,96292864,43044864,14118912,46288896,42127360,19701760,127639552,33779712,9400320,50024448,3219456,9031680,46.0,108.0,4.0,228.0,4.0,32.0,42.0,2.0,494.0,76.0,20.0,0,0,0,0,0.0003503256513026,0.0019636427815037,0.3541666666666666,0.0016914930757593,0.002731343283582,1.4555873925501432,0.002735294117647,0.1064673708034703,0.180585350904076,0.000386692650334,0.0036295081967213,0.0046197670314154,1.6750000000000005,0.0044317700453857,0.0045462686567164,2.3007449856733526,0.0045470588235294,0.2212934741606941,0.2450536316273368,0.0038860655737704
