time,paymentservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,adservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,paymentservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,adservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,paymentservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,adservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,cartservice_error,checkoutservice_error,frontend_error,frontend-external_error,paymentservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,adservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,paymentservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,adservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1693317721,1.308594094708886,5.558442881482739,0.8440871110993368,5.598878752683955,0.62913406758791,14.868856628959271,6.090310363355768,0.2842030291429792,7.397627785978952,5.13835463807259,0.3434601942115123,0.9117985962294768,91295744,52146176,11100160,44576768,42205184,17563648,59453440,37896192,9240576,48541696,3051520,8806400,58.0,74.0,6.0,248.0,8.0,72.0,44.0,8.0,398.0,50.0,28.0,0,0,0,0,0.0014,0.0031115702479338,0.0203012048192771,0.0003637347868289,0.0029061032863849,0.0203235858101629,0.0026243093922651,0.000315872466093,0.0032901422764227,0.0003770593080724,0.0043102362204724,0.0048008264462809,0.0431481481481481,0.0038532874354561,0.0045812206572769,0.0811167146974063,0.0046132596685082,0.0031714533121662,0.0064253554502369,0.0038221138211382
1693317722,1.3316502873405884,5.679441496161554,0.990580158480906,5.490839913574735,0.62913406758791,11.850648834088984,6.090310363355768,0.2897757104030541,7.397627785978952,5.13835463807259,0.2781361183200755,0.9117985962294768,91295744,52146176,11100160,44576768,42205184,17563648,59453440,37896192,9240576,48541696,3051520,8806400,58.0,92.0,0.0,280.0,0.0,42.0,44.0,0.0,562.0,70.0,18.0,0,0,0,0,0.0012511773940345,0.0031115524089103,0.0203955696202531,0.0003639799431222,0.0029019607843137,0.0203235858101629,0.0025862068965517,0.000314148396746,0.0032916224814422,0.0003778242677824,0.004280376766091,0.0048007943360386,0.043443396226415,0.0038552935100705,0.0045803921568627,0.0811167146974063,0.0045724137931034,0.0031314133016627,0.006440097799511,0.0038269293924466
1693317723,1.3316502873405884,6.181467200294355,0.990580158480906,5.382801074465514,0.62913406758791,12.098528871615946,5.045974393799337,0.3343608756044933,7.397627785978952,5.13835463807259,0.2838209508900807,0.9117985962294768,91295744,52228096,11100160,44576768,42205184,17563648,59453440,37896192,9240576,48541696,3051520,8806400,82.0,110.0,6.0,422.0,4.0,70.0,66.0,8.0,638.0,72.0,30.0,0,0,0,0,0.0011060948081264,0.0030935111111111,0.0205102040816326,0.000360639158576,0.0029019607843137,0.0202872799734307,0.0025862068965517,0.0003130505374738,0.0032763330706593,0.0003714893617021,0.0042410835214446,0.00476832,0.0438235294117647,0.0038080731150038,0.0045803921568627,0.0794311377245509,0.0045724137931034,0.0030903840245775,0.0061587499999999,0.0037866432337434
1693317724,1.3316502873405884,6.181467200294355,0.990580158480906,5.2747622353562935,0.62913406758791,12.346408909142909,6.082096900317692,0.3343608756044933,7.397627785978952,5.13835463807259,0.3410899542003133,0.9117985962294768,91295744,52228096,11100160,44576768,42205184,17563648,59453440,37896192,9240576,48541696,3051520,8806400,82.0,112.0,8.0,518.0,12.0,78.0,62.0,8.0,508.0,64.0,38.0,0,0,0,0,0.0012727740607308,0.0030929203539823,0.0206085526315789,0.0003620265707574,0.0029019607843137,0.0203426840930825,0.0025862068965517,0.0003149165281491,0.0032780990696504,0.0003797308662741,0.004272671127123,0.0047672566371681,0.0438636363636363,0.0038085641461342,0.0045803921568627,0.0791188811188811,0.0045724137931034,0.0031341023792357,0.0061820330969267,0.0038383739837398
1693317725,1.3316502873405884,6.181467200294355,0.990580158480906,5.1667233962470736,0.62913406758791,12.594288946669868,6.082096900317692,0.3343608756044933,7.447285009994513,4.433358108521703,0.2904770515798598,0.9117985962294768,91295744,52228096,11100160,44576768,42205184,17563648,59453440,37896192,9236480,48541696,3186688,8806400,66.0,84.0,0.0,286.0,0.0,54.0,50.0,0.0,434.0,64.0,8.0,0,0,0,0,0.0012727740607308,0.0030929203539823,0.0206085526315789,0.0003620265707574,0.0029019607843137,0.0203426840930825,0.0025885714285714,0.0003149165281491,0.0032780990696504,0.0003797308662741,0.004272671127123,0.0047672566371681,0.0438636363636363,0.0038085641461342,0.0045803921568627,0.0791188811188811,0.0045725714285714,0.0031341023792357,0.0061820330969267,0.0038383739837398
1693317726,1.3316502873405884,6.181467200294355,0.990580158480906,6.689578845345609,0.6445211701938481,12.84216898419683,6.082096900317692,0.3343608756044933,7.447285009994513,4.347718864553826,0.3424999379951773,0.9117985962294768,91295744,52228096,11100160,43175936,42209280,17563648,59453440,37896192,9236480,48541696,3186688,8806400,34.0,78.0,0.0,238.0,0.0,46.0,40.0,0.0,470.0,62.0,38.0,0,0,0,0,0.001390625,0.0030929203539823,0.0206085526315789,0.0003620265707574,0.0029121951219512,0.0203722382324687,0.0025885714285714,0.0003149165281491,0.0032780990696504,0.0003797308662741,0.0042964583333333,0.0047672566371681,0.0438636363636363,0.0038085641461342,0.0045980487804878,0.0776761517615177,0.0045725714285714,0.0031341023792357,0.0061820330969267,0.0038383739837398
1693317727,1.1861316770193002,6.181467200294355,0.990580158480906,6.9445069691946175,0.6445211701938481,14.8728022516177,6.082096900317692,0.3343608756044933,7.4656310917701,4.262079620585949,0.3424999379951773,0.9117985962294768,91295744,52228096,11100160,43175936,42209280,17563648,59453440,37896192,9236480,48541696,3186688,8806400,58.0,126.0,16.0,328.0,18.0,62.0,62.0,16.0,632.0,78.0,52.0,0,0,0,0,0.0012373056994818,0.003092715231788,0.0206935483870967,0.0003623082005726,0.0029241706161137,0.0203722382324687,0.0026043956043956,0.0003132904531329,0.0032892518440463,0.0003797996661101,0.0042673575129533,0.0047668874172185,0.0439224137931034,0.0038106458721817,0.0046151658767772,0.0776761517615177,0.0045736263736263,0.0030953509031684,0.0063630952380952,0.0038387096774193
1693317728,1.3875093946955432,6.181467200294355,0.990580158480906,6.9445069691946175,0.6445211701938481,14.8728022516177,6.082096900317692,0.3343608756044933,7.4656310917701,4.176440376618073,0.3424999379951773,0.9117985962294768,91295744,52228096,11100160,43175936,42209280,17563648,59453440,37896192,9236480,48541696,3186688,8806400,48.0,98.0,4.0,316.0,4.0,42.0,52.0,4.0,636.0,88.0,32.0,0,0,0,0,0.0010941176470588,0.0030935466854228,0.0206085526315789,0.000366924129053,0.0029241706161137,0.0205207981061887,0.0026043956043956,0.0003159619212137,0.0032833158447009,0.0003729889923793,0.0042403361344537,0.0047683840337612,0.0435267857142857,0.0038516890080428,0.0046151658767772,0.078876560332871,0.0045736263736263,0.0031608618654073,0.0062718446601941,0.0037965457685664
1693317729,1.3875093946955432,6.181467200294355,0.990580158480906,6.9445069691946175,0.6445211701938481,14.8728022516177,6.082096900317692,0.3343608756044933,7.4656310917701,4.0908011326501965,0.3424999379951772,0.9117985962294768,91295744,52228096,11100160,43175936,42209280,17563648,59453440,37896192,9236480,48541696,3186688,8806400,66.0,112.0,2.0,454.0,4.0,56.0,60.0,4.0,574.0,72.0,30.0,0,0,0,0,0.0012438016528925,0.0030908016877637,0.0206603773584905,0.0003665354040924,0.0029241706161137,0.0204554982263785,0.0026043956043956,0.0003166745317264,0.0032917718324078,0.0003795909849749,0.0042702479338842,0.0047634430379746,0.0435,0.0038424292028155,0.0046151658767772,0.0783933333333333,0.0045736263736263,0.0031741580949697,0.006380846325167,0.0038374798061389
1693317730,1.3875093946955432,6.181467200294355,0.990580158480906,6.9445069691946175,0.5149219841832049,14.8728022516177,6.082096900317692,0.2888617906764018,7.4656310917701,5.145462291570812,0.3424999379951772,0.9117985962294768,91295744,52228096,11100160,43175936,42209280,17563648,59453440,37896192,9236480,46538752,3186688,8806400,38.0,116.0,6.0,264.0,4.0,46.0,44.0,4.0,716.0,92.0,58.0,0,0,0,0,0.0012438016528925,0.0030908016877637,0.0206603773584905,0.0003665354040924,0.0029241706161137,0.0204554982263785,0.0026132596685082,0.0003166745317264,0.0032917718324078,0.0003795909849749,0.0042702479338842,0.0047634430379746,0.0435,0.0038424292028155,0.0046151658767772,0.0783933333333333,0.0045756906077348,0.0031741580949697,0.006380846325167,0.0038374798061389
