time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,PassthroughCluster_load,adservice_load,cartservice_load,checkoutservice_load,currencyservice_load,emailservice_load,frontend_load,frontend-external_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,emailservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time,PassthroughCluster_error,frontend_error,frontend-external_error
1685249330,2.98106861265233,7.207149714052869,0.8395585272423098,17.469357607469057,0.7939798363810643,18.755252237932904,18.864427620735533,1.2485133869830338,11.595352851976907,13.583068219559049,0.2839494112471172,0.9334601179733973,99897344.0,58990592.0,12107776.0,38526976.0,42565632.0,24276992.0,128835584.0,37359616.0,10211328.0,49975296.0,3149824.0,9281536.0,0.0,26.0,88.0,0.0,262.0,0.0,40.0,38.0,0.0,264.0,44.0,14.0,0.0770243902439025,0.16004202959261124,0.47053571428571433,0.19109005960985118,0.0046,3.723188405797101,0.04150000000000001,0.18648048665589095,0.2218974358974359,0.040696275766798025,1685249330,0.0,0.0,0.0
1685249331,2.98106861265233,7.207149714052869,0.8570785908327294,17.13467100645808,0.8195790344182743,18.755252237932904,18.864427620735533,1.2485133869830338,12.090930356691592,13.583068219559049,0.2839494112471172,0.9334601179733973,99897344.0,58990592.0,12107776.0,38526976.0,42565632.0,24276992.0,128835584.0,37359616.0,9871360.0,49975296.0,3149824.0,9281536.0,0.0,40.0,36.0,0.0,160.0,0.0,28.0,26.0,0.0,354.0,10.0,16.0,0.07702439024390247,0.16004213055792074,0.4705357142857143,0.19109010630748874,0.0046,3.6476323119777163,0.0415,0.1864809771043369,0.22189743589743585,0.04069637287559019,1685249331,0.0,0.0,0.0
1685249332,2.98106861265233,7.207149714052869,0.874598654423149,21.31957661253172,0.8195790344182743,18.749597496594596,18.864427620735533,1.2485133869830338,12.090930356691594,13.583068219559049,0.2839494112471172,0.9334601179733973,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3149824.0,9281536.0,0.0,24.0,74.0,4.0,352.0,4.0,26.0,24.0,4.0,322.0,52.0,16.0,0.07702439024390242,0.1600422276450137,0.47053571428571433,0.19109015121137135,0.0046,3.6476323119777163,0.041500000000000016,0.1864814492625516,0.2218974358974359,0.04069646625419959,1685249332,0.0,0.0,0.0
1685249333,2.98106861265233,7.207149714052869,0.8921187180135687,21.31957661253172,0.8195790344182743,18.749597496594596,18.864427620735533,1.2485133869830338,12.090930356691594,13.583068219559049,0.2851944434518448,0.587018022500132,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9281536.0,0.0,40.0,60.0,4.0,242.0,4.0,42.0,40.0,4.0,390.0,22.0,24.0,0.07702439024390248,0.16004232107255792,0.47053571428571433,0.19109019442263916,0.0046,3.6476323119777163,0.041500000000000016,0.18648190413444554,0.22189743589743588,0.040696556112952996,1685249333,0.0,0.0,0.0
1685249334,2.98106861265233,7.2522630697354815,0.9096387816039884,21.31957661253172,0.8195790344182743,18.687366797098374,18.864427620735533,0.96343025712075,12.090930356691594,13.583068219559049,0.2851944434518448,0.587018022500132,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9281536.0,0.0,48.0,92.0,6.0,272.0,8.0,50.0,48.0,8.0,310.0,70.0,20.0,0.07702439024390245,0.16013557836279785,0.4705357142857143,0.19094952800640067,0.0046,3.647632311977717,0.043846153846153854,0.18571534950729102,0.22189743589743588,0.04020826566045532,1685249334,0.0,0.0,0.0
1685249335,2.98106861265233,7.2522630697354815,1.0512038154251773,21.31957661253172,0.8195790344182743,18.687366797098374,18.864427620735533,0.9826450608128272,12.090930356691594,13.583068219559049,0.2851944434518448,0.7971941445486892,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9637888.0,0.0,66.0,0.0,0.0,134.0,0.0,36.0,54.0,0.0,362.0,26.0,24.0,0.07822649572649573,0.16321312582531203,0.5499999999999999,0.19518125696927002,0.0046,3.647632311977718,0.04384615384615385,0.18940507311271898,0.22175654853620955,0.04090490380643054,1685249335,0.0,0.0,0.0
1685249336,2.98106861265233,7.2522630697354815,1.0512038154251773,21.31957661253172,0.8195790344182743,18.687366797098374,18.864427620735533,1.0018598645049044,12.090930356691594,13.150340521995888,0.2851944434518448,0.8134192628230859,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9637888.0,0.0,0.0,108.0,0.0,44.0,0.0,15.326,4.0,0.0,0.0,0.0,0.0,0.07822649572649573,0.1632131999886614,0.5499999999999996,0.19518129340956245,0.0046,3.6567258883248734,0.04384615384615384,0.1894054615406428,0.22175654853620955,0.040904978736845336,1685249336,0.0,0.0,0.0
1685249337,2.851553446516154,7.2522630697354815,1.0512038154251773,21.797872868040518,0.8195790344182743,18.687366797098374,18.864427620735533,1.1528882215246312,12.090930356691594,13.150340521995888,0.2851944434518448,0.8296443810974826,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9637888.0,0.0,0.0,18.0,0.0,178.0,0.0,2.0,0.0,0.0,414.0,156.0,10.0,0.07822649572649573,0.16321944799987273,0.5500000000000004,0.1951843632792923,0.0046,3.656725888324874,0.04384615384615384,0.1894324529594056,0.2217565485362096,0.040911291061879275,1685249337,0.0,0.0,0.0
1685249338,2.851553446516154,7.2522630697354815,1.0512038154251773,21.797872868040518,0.8195790344182743,18.687366797098374,18.864427620735533,1.1528882215246312,12.090930356691594,13.150340521995888,0.2851944434518448,0.9735070964637996,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9637888.0,0.0,86.0,16.0,0.0,122.0,0.0,50.0,34.0,0.0,422.0,64.0,20.0,0.07822649572649575,0.1632172701949861,0.5499999999999998,0.19518329326923078,0.0046,3.6567258883248743,0.04384615384615384,0.1903301237964237,0.2217565485362096,0.040909090909090916,1685249338,0.0,0.0,0.0
1685249339,2.851553446516154,7.2522630697354815,1.0512038154251773,21.797872868040518,0.8195790344182743,18.687366797098374,16.029837765968676,1.1528882215246312,12.090930356691594,11.062504791787008,0.2851944434518448,0.9735070964637996,99897344.0,58990592.0,12107776.0,38539264.0,42565632.0,25489408.0,128835584.0,37359616.0,9871360.0,49975296.0,3153920.0,9637888.0,0.0,126.0,0.0,0.0,284.0,0.0,70.0,78.0,0.0,462.0,8.0,30.0,0.0803711790393013,0.17119718309859155,0.6285714285714282,0.20078804347826087,0.0046,3.6567258883248743,0.045416666666666654,0.19516638078902232,0.22422025723472666,0.0423404255319149,1685249339,0.0,0.0,0.0
