time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,frontend-check_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1702362565,2.0088577942312664,8.135754772026775,1.4466855861537498,11.051460652997683,0.9377953093512825,17.628528400901747,10.806595198213339,0.5618852033937128,8.29914290563473,6.806701114161211,0.5588088064889948,1.233876075058679,98193408,53657600,11632640,75083776,42270720,16478208,,64286720,40873984,9187328,46690304,3026944,8966144,68.455,131.265,10.222,409.225,18,88.993,80,12.529,957.175,126.508,75.333,0,0,0.0031835243279500747,0.003871106294685194,0.04129213483146067,0.0031921820393903374,0.0032119815668202765,0.08032326214098912,0.003042372881355932,0.0023823434683480256,0.006956215994462717,0.002251757264553212,0.005026978363663257,0.013240064869860102,0.09702702702702704,0.007955679372765572,0.004981566820276498,0.3207202171811849,0.004676271186440678,0.004876470157140805,0.021447512760438457,0.0046053652046738605
1702362566,2.0088577942312664,8.135754772026775,1.174089082911744,11.051460652997683,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.29914290563473,6.864463958107024,0.5588088064889948,1.233876075058679,98193408,53657600,11632640,75083776,42270720,16478208,,64286720,40873984,9187328,46686208,3026944,8966144,56,116.327,16,310,20,63.943,54,18,708.188,91.726,62,0,0,0.003185461956521739,0.0038773696137358016,0.041351744186046514,0.0031968972337046648,0.0032119815668202765,0.08223677318678053,0.0030434782608695656,0.002350362462245959,0.0069601726604359045,0.002222672064777328,0.005106907894736845,0.01443661395646597,0.09791666666666671,0.008129488521491536,0.004981566820276498,0.3362454926027884,0.004678260869565218,0.004885430519081693,0.02181300665843949,0.004602591093117408
1702362567,2.0088577942312664,8.135754772026775,1.19748655567645,11.051460652997683,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,6.864463958107024,0.5588088064889948,1.233876075058679,98193408,53657600,11632640,75083776,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,50.358,95.299,4,285,2,44,56,2,573.956,71.932,34,0,0,0.003223161406923398,0.00394570320731656,0.04155295531674208,0.0032272826945899695,0.0032180094786729858,0.0824348350234523,0.0030588235294117644,0.0024198464382981337,0.007034138448232808,0.002255184289830115,0.0058056079284505725,0.017535167375242536,0.09686933614330874,0.008291559222231015,0.004992417061611375,0.34406236651003896,0.004705882352941176,0.004945490509866576,0.022390098082940936,0.0046123244030863994
1702362568,2.0088577942312664,8.135754772026775,1.4038483658823635,11.051460652997683,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,6.864463958107024,0.5588088064889948,1.233876075058679,98193408,53657600,11632640,75083776,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,54.402,107.764,8.376,396.226,7.976,64,45.952,8,618.63,70.823,38.753,0,0,0.003239473684210527,0.003930002356823003,0.041623036649214656,0.0032252385109212494,0.0032181839099390984,0.08242797118847539,0.003079373675309598,0.002482680977073589,0.007099099402904035,0.0023135557846887702,0.006019283746556476,0.017529126213592292,0.09533333333333331,0.008272757462365008,0.004992731037890378,0.34398734177215196,0.0047428726155572766,0.004966093500225632,0.022748980150149308,0.0046253403226118
1702362569,2.0088577942312664,8.135754772026775,1.4038483658823635,11.076302750406706,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,6.864463958107024,0.5588088064889948,1.233876075058679,98193408,53657600,11632640,75390976,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,59.865,109.116,8,344,8,67.257,52,8,691.15,85.15,45.668,0,0,0.003239473684210527,0.003930028256618695,0.041623036649214656,0.0032251770680208473,0.0032008368200836823,0.08426407061140072,0.0030793650793650793,0.002451238034743879,0.007090283664990121,0.0022470729772842714,0.006019283746556476,0.017529387360728062,0.09533333333333331,0.008272446689113361,0.004961506276150628,0.35515204973293346,0.004742857142857144,0.0049442161897767425,0.023132813285270608,0.004606997763182518
1702362570,2.0088577942312664,8.135754772026775,1.4038483658823635,11.076302750406706,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,5.829409515774425,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,48.104,126.951,16,354.275,16,66.362,46,16.529,628,86,61.294,0,0,0.003239473684210527,0.003930028256618695,0.041623036649214656,0.0032251770680208473,0.0032008368200836823,0.08426418439716313,0.0030793650793650793,0.0024512490160196964,0.007090199479618387,0.0022470729772842714,0.006019283746556476,0.017529387360728062,0.09533333333333331,0.008272446689113361,0.004961506276150628,0.3551488833746907,0.004742857142857144,0.004944214850707425,0.02313271028037385,0.004606997763182518
1702362571,2.0088577942312664,8.135754772026775,1.4038483658823635,11.076302750406706,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,5.945409201020102,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,58.34,90.161,4,232,2,45.726,52,4.132,523.128,69.128,20,0,0,0.003241246778876758,0.003912723138821232,0.041554054054054046,0.003206568832983928,0.003200841505179878,0.08501903778534108,0.003082304526748971,0.002408420078340972,0.007050554218850928,0.0022123125493291244,0.006077030961134922,0.019083825559934067,0.09499999999999995,0.008168484848484862,0.004961514709323781,0.3653228090242841,0.004748148148148147,0.004934385988872753,0.023383957157707934,0.004601578531965273
1702362572,2.0088577942312664,8.135754772026775,1.4038483658823635,11.076302750406706,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,6.959981114740526,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,56,80,0,332,0,52,42,0,468,58,22,0,0,0.003238684202153121,0.003958322934863988,0.04145077720207255,0.003217354793561931,0.0032086983017928345,0.08386575766868287,0.0030793650793650793,0.0024472650447284632,0.00706377175839132,0.0022375859434682964,0.00600839746462964,0.019654411764705892,0.09311111111111117,0.008081268882175226,0.004975656943227102,0.3474476160324311,0.004742857142857144,0.0049338546961330484,0.022947514880272912,0.0046015278838808255
1702362573,2.0088577942312664,8.135754772026775,1.4038483658823635,11.076302750406706,0.9377953093512825,18.27301878796425,10.806595198213339,0.5618852033937128,8.469140024281792,6.959981114740526,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,60.398,104.653,0,262,0,60,52,0,640,90,24.195,0,0,0.003241784455818411,0.003925969447708578,0.04136473429951691,0.0031878997867803836,0.0032000073942630883,0.08386576787807738,0.003074349442379182,0.00250189311367083,0.0071160933559499834,0.002306605518957661,0.006015378603020031,0.017858851674641147,0.09177083333333332,0.00784952038369305,0.004960013309673559,0.34744764397905836,0.004733828996282528,0.0049550486936293416,0.02309764978020157,0.004616356540581155
1702362574,2.0088577942312664,8.135754772026775,1.4038483658823635,11.076302750406706,0.9377953093512825,18.27301878796425,10.806595198213339,0.5977379211555364,8.469140024281792,6.959981114740526,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64286720,40873984,9437184,46686208,3026944,8966144,55.391,91.42,0,277.257,0,46,48,0,424.048,58.048,13.882,0,0,0.0032418060354629423,0.003925965897788796,0.04136473429951691,0.0031878997867803836,0.0031882382033123604,0.08266199649737302,0.003074349442379182,0.002437120655256358,0.007009370012525222,0.0022604348224752506,0.006015669897063059,0.0178588167848755,0.09177083333333332,0.00784952038369305,0.004938828765962249,0.33932432432432436,0.004733828996282528,0.004931070044729289,0.022613182080076847,0.004602342311708221
1702362575,2.0088577942312664,7.250493542867101,1.4038483658823635,11.076302750406706,0.9617088909374478,18.27301878796425,10.851434380713481,0.5977379211555364,8.469140024281792,6.959981114740526,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64421888,40873984,9437184,46686208,3026944,8966144,58.585,68.623,0,382,0,51.786,44,0,394.531,46.531,10,0,0,0.003241780139488542,0.003925969447708578,0.04136473429951691,0.0031878997867803836,0.0031882352941176467,0.08266230701369263,0.003074349442379182,0.002437286308272314,0.007009370012525222,0.002260645369418649,0.006015320334261844,0.017858851674641147,0.09177083333333332,0.00784952038369305,0.004938823529411764,0.3393278071224439,0.004733828996282528,0.004931132953972522,0.022613182080076847,0.004602399530313349
1702362576,2.0088577942312664,7.39807502098057,1.4038483658823635,11.18249141112115,0.9617088909374478,18.27301878796425,10.851434380713481,0.5977379211555364,8.469140024281792,6.959981114740526,0.5588088064889948,1.3077333097741797,98193408,53657600,11632640,75390976,42270720,16478208,,64421888,40873984,9437184,46686208,3026944,8966144,39.621,45.78,0,213.094,0,32,30.769,0,409.719,35.231,12.605,0,0,0.003206975029419942,0.00385304756421568,0.041293677017444706,0.0031489786947565997,0.003188095432355082,0.08116799635203825,0.003076912133527571,0.0023728997361728687,0.006876244548513778,0.0022082574477060466,0.005417308805178573,0.012033056774597574,0.09130442077160272,0.007364461429515511,0.004938571778239148,0.29144979292953566,0.004738441840349628,0.0048533712723712735,0.021058902296378676,0.0045481105613813496
1702362577,1.7917188928612164,8.854888686808152,1.4580438908441853,11.18249141112115,0.9617088909374478,18.27301878796425,10.936724649979041,0.5977379211555364,8.469140024281792,6.959981114740526,0.5588088064889948,1.3077333097741797,98193408,53657600,11214848,75390976,42270720,16478208,,64421888,40873984,9437184,46686208,3026944,8966144,12,78,0,216,0,4,18,0,284,58,8,0,0,0.003208117322595454,0.0038081463324122636,0.04111601288013379,0.003136511666096044,0.0031618368947239333,0.07923158055504614,0.0030711408070813193,0.0023963332723964197,0.006873975694248715,0.0022126562829133303,0.005408507072562549,0.009766241111348542,0.09046474221151718,0.0070167238024718345,0.00489130641050308,0.2751893847352483,0.0047280534527463745,0.0048487624268184915,0.02061690084196771,0.004547499261045221
1702362578,2.1146736085936446,8.854888686808152,1.4580438908441853,11.18249141112115,0.9617088909374478,18.27301878796425,10.936724649979041,0.5977379211555364,8.565615558912402,6.959981114740526,0.5588088064889948,1.2374945447331729,98193408,53657600,11214848,75390976,42270720,16478208,,64421888,40873984,9437184,46686208,3026944,8835072,72,132.516,4,396,4,81.705,60,4,728,102,43.529,0,0,0.0032089911379708513,0.00380188311980169,0.041044612343223534,0.0031207143421227348,0.0031678856108413303,0.07923042719071699,0.0030700338511368483,0.0023979781511892363,0.006801462119412474,0.002272921594873953,0.005430834096852298,0.009805625773282124,0.08999972642851847,0.006798008172346859,0.0049021940995143945,0.2751642701077048,0.004726060932046327,0.00485622018053102,0.019320142377645844,0.004565562828743247
1702362579,2.1146736085936446,8.854888686808152,1.4580438908441853,11.18249141112115,0.8007789294002027,18.27301878796425,10.936724649979041,0.6201374705420358,8.565615558912402,6.871981028821532,0.5588088064889948,1.2374945447331729,98193408,53657600,11214848,75390976,42270720,16478208,,64421888,40648704,9437184,46686208,3026944,8835072,56,91.968,3.984,366.39,5.984,61.785,48,3.984,593.952,68,28.065,0,0,0.0032088034513867605,0.0038017730897858958,0.041043195687577964,0.0031207227513371013,0.003156375916349425,0.07735924974438359,0.0030700380616619323,0.002360117352479302,0.006798233636391776,0.002240421458645404,0.005427767852105199,0.00980534505423104,0.0899973590520633,0.0067976088930741235,0.004881476649428965,0.2478441941650407,0.004726068510991478,0.004847404011157282,0.01970870039258832,0.004557155331879278
1702362580,2.1146736085936446,7.439250253374229,1.4580438908441853,11.18249141112115,0.9782172901378247,17.977607468440272,10.936724649979041,0.6201374705420358,8.565615558912402,6.871981028821532,0.5644872141794095,1.2374945447331729,98193408,53657600,11214848,75390976,42274816,16801792,,64421888,40648704,9437184,46686208,3022848,8835072,59.944,96.51,4,332,4,40,54,4.132,547.044,68,28,0,0,0.0032096036044874363,0.003803218891896632,0.041044776119402986,0.003122024560820694,0.003156378600823045,0.07735549132947975,0.0030700389105058363,0.002364414067804282,0.006802057094878253,0.0022436365669138746,0.005440813579768755,0.009807089143274415,0.09000000000000002,0.006808716335001439,0.0048814814814814814,0.24783548568220104,0.004726070038910505,0.004849038156882272,0.019715158924205403,0.004558061914152937
1702362581,2.0298725346652366,7.291668775260759,1.4580438908441853,11.18249141112115,0.9782172901378247,17.977607468440272,10.936724649979041,0.6201374705420358,8.565615558912402,6.871981028821532,0.572288303919996,1.2374945447331729,98430976,53657600,11214848,75390976,42274816,16801792,,64421888,40648704,9437184,46686208,3022848,8835072,54.169,108.68,8,288,8,52,50,7.766,584.3,82,37.748,0,0,0.0032088138037066906,0.0038018010006786946,0.04104317816446206,0.003120719998011316,0.003156378600823045,0.07735979604835233,0.0030750056969834866,0.00236018380836087,0.006798225276548702,0.0022404943650278387,0.005427937077653049,0.009805373297823515,0.08999732975794876,0.006797580646963281,0.0048814814814814814,0.2478454599067856,0.004735010254570276,0.0048474250401028636,0.019708686264957916,0.004557172245204114
1702362582,2.0298725346652366,7.144087297147291,1.4580438908441853,11.18249141112115,0.9782172901378249,17.977607468440272,10.936724649979041,0.6201374705420358,8.565615558912402,6.871981028821532,0.572288303919996,1.2374945447331729,98430976,53657600,11214848,75390976,42274816,16801792,,64421888,40648704,9437184,46686208,3022848,8835072,58,65.746,0,206,0,31.746,28,0,389.451,57.451,6,0,0,0.003226891949256183,0.0038512793042752127,0.04112917017568106,0.0031472744285519915,0.0031558462591166196,0.07749676142707214,0.003075321576842249,0.0023676176965647775,0.006849534559271649,0.002219197103465841,0.005783122184275349,0.010796431526484478,0.09048813601856051,0.007139456750119469,0.004880523266409915,0.24977903304400276,0.004735578838316049,0.004864484751854473,0.020458967775074968,0.004543236169276543
1702362583,2.0298725346652366,8.371323529412017,1.1735174550276342,11.082843813157668,0.9782172901378249,17.977607468440272,10.936724649979041,0.6201374705420358,8.565615558912402,6.871981028821532,0.572288303919996,1.2374945447331729,98430976,53628928,11214848,74891264,42274816,16801792,,64421888,40648704,9437184,46686208,3022848,8835072,57.746,118.824,8,344,8.065,57.769,52,8,713.538,78,48.449,0,0,0.0032244424615352715,0.003822813884805646,0.04115384615384615,0.003140340801091024,0.003164502164502164,0.07749708215028654,0.003071713147410359,0.0024240992697525917,0.006883932438284972,0.002273865414710485,0.0057362864979744336,0.00992428031837109,0.09069767441860466,0.007119996738601856,0.004896103896103895,0.2497791564645551,0.0047290836653386455,0.0048796422209061024,0.020138686131386876,0.004557433489827854
