time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,cartservice_error,checkoutservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1693313092,3.707557434504969,6.183721748126254,0.7347738528769119,5.4922531250748055,0.5725189112668418,11.347376132896688,4.929853623797857,0.4412101300213468,5.235386315766136,3.9621099158692443,0.27855112543855653,0.7889979785701422,170409984,94691328,18751488,79839232,82989056,24657920,100450304,40456192,19709952,83730432,5959680,15847424,46.668,108.111,5.795,256.746,3.704,44.803,47.438,4,635.18,76.805,39.041,0,0,0,0,0.0028419362852220996,0.0030647708537486053,0.01903281426498671,0.000393630392757987,0.0028290838329988847,0.017565422378319356,0.0030754716981132076,0.000288269436771405,0.0031444208457301263,0.0004424938373686816,0.004666162123848421,0.00471658753674749,0.03806790998037074,0.003926839207491783,0.004565816766599777,0.04010128080673974,0.004735849056603774,0.0019916060391458423,0.004859957522314227,0.004080502849509561
1693313093,3.780885596787056,6.183721748126254,0.7347738528769119,5.4922531250748055,0.5725189112668418,11.347376132896688,4.929853623797857,0.4412101300213468,5.490480167323712,3.9621099158692443,0.27855112543855653,0.7889979785701422,170409984,94691328,18751488,79839232,82989056,24657920,100450304,40456192,19914752,83730432,5959680,15847424,30,80,6,172,8,34,34,6,488,62,38,0,0,0,0,0.0028419903972064604,0.0030630071599045345,0.019153543307086615,0.00039370815840236007,0.002816901408450704,0.017609375,0.0030805369127516777,0.000290296052631579,0.003139551192145862,0.0004609500805152979,0.004666171977302488,0.004713412887828162,0.03920454545454543,0.003927258257063271,0.004563380281690141,0.040431034482758636,0.0047449664429530195,0.0021233824471492673,0.004851192145862553,0.004125954198473282
1693313094,4.399689736925205,6.183721748126254,0.7347738528769119,5.4922531250748055,0.5725189112668418,11.347376132896688,4.929853623797857,0.4412101300213468,5.490480167323712,3.9621099158692443,0.27855112543855653,0.7889979785701422,170409984,94691328,18751488,79839232,82989056,24657920,100450304,40456192,19914752,83730432,5959680,15847424,50,84,2,320,0,44,40,0,420,54,24,0,0,0,0,0.0028311393554244215,0.0030623312883435584,0.019173076923076925,0.0003893101053362658,0.002831168831168831,0.01761917659804984,0.0030875,0.00028933675054364715,0.003138232084394325,0.000436154949784792,0.004660644575578758,0.004712196319018405,0.03923913043478264,0.003906325932132385,0.004566233766233767,0.04069399350649352,0.0047575000000000004,0.0020627438016528944,0.004848817751909785,0.004062813102119461
1693313095,4.399689736925205,6.183721748126254,0.7347738528769119,5.4922531250748055,0.5725189112668418,11.347376132896688,4.929853623797857,0.40751035853029,5.490480167323712,3.9621099158692443,0.27855112543855653,0.7889979785701422,170409984,94691328,18751488,79839232,82989056,24657920,100450304,40456192,19914752,83730432,5959680,15847424,44,96,8,216,8,42,46,8,574,80,42,0,0,0,0,0.0028421955403087483,0.003062106000466963,0.019172661870503597,0.00040408485669149176,0.002831168831168831,0.01766769865841073,0.0030853658536585367,0.0002901489656537662,0.0031528882739536497,0.0004562410329985653,0.0046603773584905665,0.004711790800840532,0.03900000000000002,0.003973874538745387,0.004566233766233767,0.04087218045112782,0.004753658536585366,0.0021140823274528008,0.004875198893116569,0.004115130434782609
1693313096,4.399689736925205,6.183721748126254,0.6220598896055796,5.4922531250748055,0.5725189112668418,11.347376132896688,4.929853623797857,0.41583063209250754,5.490480167323712,3.9621099158692434,0.27855112543855653,0.7889979785701422,170409984,94691328,18751488,79839232,82989056,24657920,100450304,40456192,19914752,83730432,5959680,15847424,28,50,4,144,4,30,28,4,280,50,22,0,0,0,0,0.0028409595735228786,0.003062106000466963,0.019172661870503597,0.00040408485669149176,0.002831168831168831,0.01766769865841073,0.0030853658536585367,0.0002901489656537662,0.0031528882739536497,0.0004562410329985653,0.004657752110173255,0.004711790800840532,0.03900000000000002,0.003973874538745387,0.004566233766233767,0.04087218045112782,0.004753658536585366,0.0021140823274528008,0.004875198893116569,0.004115130434782609
1693313097,4.399689736925205,6.390029970172481,0.7612632117306215,5.4922531250748055,0.5725189112668418,11.347376132896688,4.929853623797857,0.49921641373305153,5.6650811880958996,3.9621099158692434,0.27855112543855653,0.7889979785701422,170409984,94691328,18751488,79839232,82989056,24657920,100450304,40456192,19914752,83730432,5959680,15847424,56,82,6,204,8,40,44,4,454,62,26,0,0,0,0,0.0028249359521776256,0.0030645474399417618,0.019172661870503597,0.00040408485669149176,0.0028410596026490066,0.01769072349570201,0.0030853658536585367,0.00028873849351677717,0.003159164566078502,0.0004562410329985653,0.004652433817250213,0.004716185391895172,0.03900000000000002,0.003973874538745387,0.004568211920529802,0.04117624223602488,0.004753658536585366,0.002023163298042988,0.004886496218941303,0.004115130434782609
1693313098,4.399689736925205,7.091812226095619,0.7612632117306215,5.4922531250748055,0.5725189112668418,11.347376132896688,5.2715943282773585,0.49921641373305153,5.6650811880958996,3.9621099158692434,0.27855112543855653,0.7889979785701422,170409984,97243136,18751488,79839232,82989056,24657920,100450304,40456192,19914752,83730432,5959680,15847424,70,96,2,300,0,48,58,0,514,70,22,0,0,0,0,0.0028249359521776256,0.0030666666666666663,0.01922222222222222,0.000404076332429991,0.0028343949044585992,0.017748632946001364,0.0030875,0.00029086633663366347,0.003154316791298437,0.0004672256097560975,0.004652433817250213,0.0047199999999999985,0.03939999999999999,0.003973855243722304,0.00456687898089172,0.04124819102749637,0.0047575000000000004,0.0021579075425790803,0.004877770224337186,0.004139649122807018
1693313099,4.399689736925205,7.091812226095619,0.7612632117306215,5.4922531250748055,0.5725189112668418,11.94247511439842,5.2715943282773585,0.49921641373305153,5.6650811880958996,3.9621099158692434,0.27855112543855653,0.7889979785701422,170409984,97243136,18751488,79839232,82989056,25022464,100450304,40456192,19914752,83730432,5959680,15847424,56,96,0,290,0,46,50,0,588,82,26,0,0,0,0,0.0028168074699866604,0.0030692454632282712,0.019293478260869565,0.0003994624898855623,0.0028433734939759033,0.01780737704918033,0.003082840236686391,0.00029258314738072466,0.0031533591276820265,0.000443024861878453,0.004653001333926189,0.004724641833810888,0.04028846153846156,0.003954931773879142,0.0045686746987951814,0.04167529585798819,0.004749112426035504,0.0022571428571428573,0.004876046429827647,0.0040819320214669046
1693313100,4.399689736925205,7.091812226095619,0.7612632117306215,4.691528388214941,0.46593351552191037,11.94247511439842,5.2715943282773585,0.49921641373305153,5.6650811880958996,3.9621099158692434,0.27855112543855653,0.7889979785701422,170409984,97243136,18751488,79839232,82993152,25022464,100450304,40456192,19914752,83730432,5959680,15847424,66,138,6,264,4,48,64,4,770,110,40,0,0,0,0,0.002828980623420388,0.003070223438212494,0.019362068965517242,0.00041471191072648604,0.0028433734939759033,0.017854471268276093,0.003080459770114942,0.00029130216549548256,0.003167785234899329,0.0004610344827586207,0.004654759898904802,0.004726402188782488,0.04098214285714287,0.004023712240265409,0.0045686746987951814,0.041928969359331464,0.0047448275862068965,0.0021836141778036,0.0049020134228187915,0.004126143790849674
1693313101,4.399689736925205,7.091812226095619,0.7612632117306215,4.5999908361303605,0.4752152445508135,11.94247511439842,5.2715943282773585,0.49921641373305153,5.6650811880958996,3.9621099158692434,0.27855112543855653,0.7889979785701422,170409984,97243136,18751488,79839232,82993152,25022464,100450304,40456192,19914752,83730432,5959680,15847424,38,92,6,242,4,48,48,6,502,68,36,0,0,0,0,0.002826276735050197,0.003070223438212494,0.019362068965517242,0.00041471191072648604,0.0028433734939759033,0.017854471268276093,0.003080459770114942,0.00029130216549548256,0.003167785234899329,0.0004610344827586207,0.004656045395024007,0.004726402188782488,0.04098214285714287,0.004023712240265409,0.0045686746987951814,0.041928969359331464,0.0047448275862068965,0.0021836141778036,0.0049020134228187915,0.004126143790849674
