time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692642199,0.8450913969118141,3.802152885193993,0.8525798198027,5.5513852417261536,0.6034113701945186,11.552891603340486,5.102147172852417,0.3403858045184385,5.494834713845481,4.082609995451366,0.28136168302321846,0.798517674604898,95789056,42795008,13930496,45527040,42307584,19918848,97566720,35139584,9605120,49029120,3207168,8949760,58,86,0,288,0,44,56,4,260,66,30,0,0,0,0,0.0003781400320684126,0.0026851595006934814,0.5127118644067795,0.0015680558901469532,0.0025822784810126576,1.4395886889460154,0.001620689655172414,0.175,0.19131788308543757,0.00041425260718424103,0.0038314136125654455,0.10974999999999921,1.768750000000001,0.004505564924114674,0.004556962025316456,2.300942587832048,0.0043241379310344835,0.235,0.38525390625,0.0039964664310954065
1692642200,0.8450913969118141,3.802152885193993,0.8525798198027,5.5513852417261536,0.6034113701945186,9.833532510473338,5.102147172852417,0.33628953872344125,5.494834713845481,4.082609995451366,0.2373832218966113,0.798517674604898,95789056,42795008,13930496,45527040,42307584,19918848,97566720,35143680,9605120,49029120,3207168,8949760,58,64,0,150,0,40,50,0,228,70,12,0,0,0,0,0.0003781400320684126,0.0026851251126289205,0.5127118644067795,0.001560668442722209,0.0025822784810126576,1.4395886889460154,0.001620689655172414,0.175,0.19131788308543757,0.0004257763975155279,0.0038314136125654455,0.10974877600310544,1.768750000000001,0.004510535238556552,0.004556962025316456,2.300942587832048,0.0043241379310344835,0.235,0.38525390625,0.00403646017699115
1692642201,0.8450913969118141,3.802152885193993,0.8525798198027,5.5513852417261536,0.6034113701945186,11.719645608537641,5.102147172852417,0.3378066239272296,5.494834713845481,4.082609995451366,0.24223226363379557,0.798517674604898,95789056,42795008,13930496,45527040,42307584,19771392,97566720,35143680,9605120,49029120,3207168,8949760,68,158,0,482,0,50,64,2,94,2,20,0,0,0,0,0.00037260892667375126,0.002568490763332172,0.5043859649122807,0.0015385181550539749,0.0025822784810126576,1.4443728522336772,0.0016724137931034483,0.175,0.19129077029840388,0.00041200000000000004,0.0037934782608695645,0.039000000000000076,1.776250000000001,0.004503189401373896,0.004556962025316456,2.301932989690722,0.00433448275862069,0.235,0.38516699410609034,0.003987985865724382
1692642202,0.8450913969118141,3.802152885193993,0.8525798198027,5.5513852417261536,0.6034113701945186,11.719645608537641,5.102147172852417,0.3378066239272296,5.494834713845481,4.082609995451366,0.2470813053709799,0.817404082374011,95789056,42795008,13930496,45527040,42307584,19771392,97566720,35143680,9605120,49029120,3207168,8949760,12,20,0,112,0,28,4,0,210,64,12,0,0,0,0,0.00037260892667375126,0.0025663994423143956,0.5087719298245613,0.0015385181550539749,0.002579617834394904,1.4430935251798562,0.0016608695652173915,0.175,0.19129077029840388,0.00041142857142857143,0.0037934782608695645,0.0375,1.780000000000001,0.004503189401373896,0.004556687898089172,2.301741007194245,0.004332173913043479,0.235,0.38516699410609034,0.00398581560283688
1692642203,0.8516968874572867,3.802152885193993,0.8797089480874783,5.647323074436363,0.6034113701945186,11.719645608537641,5.102147172852417,0.3378066239272296,5.494834713845481,4.082609995451366,0.25193034710816414,0.817404082374011,95789056,42795008,13705216,45527040,42307584,19771392,97566720,35143680,9605120,49029120,3207168,8949760,50,94,0,212,0,36,56,2,222,116,0,0,0,0,0,0.00037632607481853707,0.0025663994423143956,0.5087719298245613,0.0015385181550539749,0.00258974358974359,1.4430935251798562,0.0016608695652173915,0.175,0.19165218902015288,0.00041142857142857143,0.0038177383592017727,0.0375,1.780000000000001,0.004503189401373896,0.00455897435897436,2.301741007194245,0.004332173913043479,0.235,0.38812500000000005,0.00398581560283688
1692642204,0.8516968874572867,3.802152885193993,0.8797089480874783,5.647323074436363,0.6034113701945186,11.719645608537641,5.102147172852417,0.3378066239272296,5.494834713845481,4.082609995451366,0.2909425042310575,0.817404082374011,95789056,42795008,13705216,45527040,42307584,19771392,97566720,35143680,9605120,49029120,3207168,8949760,94,74,0,242,0,64,64,0,342,58,28,0,0,0,0,0.00037176097303014274,0.0025663994423143956,0.5087719298245613,0.0015385181550539749,0.00258974358974359,1.4430935251798562,0.0016608695652173915,0.175,0.19165218902015288,0.00041142857142857143,0.0037877995642701524,0.0375,1.780000000000001,0.004503189401373896,0.00455897435897436,2.301741007194245,0.004332173913043479,0.235,0.38812500000000005,0.00398581560283688
1692642205,0.8516968874572867,3.802152885193993,0.8797089480874783,5.647323074436363,0.6034113701945186,11.95965255655674,5.102147172852417,0.3378066239272296,5.533910711156369,4.082609995451366,0.2909425042310575,0.817404082374011,95789056,42795008,13705216,45527040,42307584,19771392,97566720,35143680,9646080,49029120,3207168,8949760,44,98,10,276,10,36,50,6,256,58,44,0,0,0,0,0.00037176097303014274,0.0025663994423143956,0.5087719298245613,0.0015271565495207663,0.00258974358974359,1.4430935251798562,0.0016608695652173915,0.175,0.19165218902015288,0.0004188701923076923,0.0037877995642701524,0.0375,1.780000000000001,0.004500466945195379,0.00455897435897436,2.301741007194245,0.004332173913043479,0.235,0.38812500000000005,0.00401319073083779
1692642206,0.8459099983054114,2.6814090174999814,0.8797089480874783,5.647323074436363,0.6034113701945186,11.95965255655674,5.102147172852417,0.3378066239272296,5.533910711156369,4.082609995451366,0.2909425042310575,0.817404082374011,95789056,42795008,13705216,45527040,42307584,19771392,97566720,35143680,9646080,49029120,3207168,8949760,46,60,8,238,8,48,44,4,246,60,28,0,0,0,0,0.0003730890880337374,0.002518443997317237,0.48697916666666674,0.0015477892186553602,0.00258974358974359,1.4384648370497428,0.001626086956521739,0.175,0.19224947807933193,0.000407190635451505,0.003793562231759656,0.025694444444444152,1.7302631578947376,0.004501441550575411,0.00455897435897436,2.29901372212693,0.004325217391304348,0.235,0.3887635379061372,0.003969094138543517
1692642207,0.8459099983054114,2.6814090174999814,0.8797089480874783,5.647323074436363,0.6034113701945186,11.95965255655674,4.415015502348518,0.3378066239272296,5.533910711156369,4.082609995451366,0.2909425042310575,0.817404082374011,95789056,42795008,13705216,45527040,42307584,19771392,97566720,35143680,9646080,49029120,3207168,8949760,34,74,6,244,6,24,40,10,188,52,30,0,0,0,0,0.0003730890880337374,0.0025170340681362723,0.4625,0.001547898752573574,0.002584905660377358,1.4382978723404256,0.0016495726495726495,0.175,0.19224947807933193,0.0004083054626532887,0.003793562231759656,0.02356122448979584,1.655714285714286,0.004501029429574907,0.0045371069182389935,2.297191489361702,0.0043299145299145305,0.235,0.3887635379061372,0.003973544973544974
1692642208,0.8459099983054114,2.6814090174999814,0.8797089480874783,5.647323074436363,0.6034113701945186,11.95965255655674,4.329979716134312,0.3378066239272296,5.533910711156369,4.055524867528264,0.25162000843698434,0.817404082374011,95789056,42795008,13705216,45527040,42307584,19771392,97566720,35143680,9646080,49029120,3207168,8949760,58,64,0,202,0,38,42,0,202,42,4,0,0,0,0,0.00037823033707865174,0.0025170340681362723,0.4625,0.001547898752573574,0.0025853658536585363,1.4382978723404256,0.0016495726495726495,0.175,0.19226128016789085,0.0004083054626532887,0.0038263446761800214,0.02356122448979584,1.655714285714286,0.004501029429574907,0.004517073170731708,2.297191489361702,0.0043299145299145305,0.235,0.3855309734513275,0.003973544973544974
