time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1702367981,2.003621107921114,8.046253915767299,2.0158368805108893,11.601640216331178,0.9466938194120195,15.32276905302786,12.519018000878065,0.575713151304121,8.604784174809145,7.236620472977834,0.5713996302269959,1.2766122929454564,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,26.032,52,0,200,0,14,34,0,245.59,35.59,12,0,0,0,0.0032545454545454544,0.003859415204678362,0.04193989071038252,0.0031388148712092373,0.003163090128755365,0.07589327691584391,0.0030740740740740746,0.0025158294055705644,0.0072979618942264025,0.0023756534727408514,0.006340782122905024,0.009362277580071172,0.08426229508196724,0.006242973141786384,0.004893562231759658,0.23693871359223298,0.004733333333333334,0.005224797927683704,0.019630195402513217,0.00461613144137416
1702367982,2.003621107921114,8.046253915767299,2.0158368805108893,11.601640216331178,0.9466938194120195,17.86628251132807,12.519018000878065,0.575713151304121,8.604784174809145,7.236620472977834,0.5713996302269959,1.2766122929454564,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,62,96,4,292.869,4,50,48,4,512,76,24,0,0,0,0.00325452669815064,0.003859415204678362,0.04193989071038252,0.0031388148712092373,0.003163090128755365,0.07589327691584391,0.003076595744680851,0.0025158585490339044,0.007297750591949486,0.0023756534727408514,0.006340538311236111,0.009362277580071172,0.08426229508196724,0.006242973141786384,0.004893562231759658,0.23693871359223298,0.004737872340425532,0.005224783861671469,0.019629770992366416,0.00461613144137416
1702367983,2.003621107921114,8.046253915767299,2.0158368805108893,9.518146482646488,0.9466938194120195,17.86628251132807,12.519018000878065,0.575713151304121,8.604784174809144,7.236620472977834,0.5713996302269959,1.2766122929454564,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,46,72,0,224,0,30,40,0,417.142,61.142,8,0,0,0,0.003231807704972012,0.0038581925055106536,0.041577540106951874,0.0031461706204982494,0.003163090128755365,0.0748953488372093,0.0030737704918032786,0.002499278442234508,0.007279493614655511,0.002374626865671642,0.005995412844036697,0.0093698578908003,0.08315789473684214,0.0062729388297872455,0.004893562231759658,0.23625874125874124,0.004732786885245902,0.0049919664474630246,0.019550686306557645,0.004613432835820897
1702367984,2.003621107921114,8.046253915767299,2.0158368805108893,9.712870583068536,0.9466938194120195,17.86628251132807,12.4234318693692,0.575713151304121,8.604784174809144,7.179337168005158,0.5713996302269959,1.2766122929454564,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,68,132,4,420,6,72,72,6,734.626,100.626,44.869,0,0,0,0.003230311052283256,0.003832748538011695,0.041341145833333336,0.003130930395465835,0.0031610169491525426,0.0748953488372093,0.003073170731707317,0.0024936057722766566,0.007326399348148154,0.0024060726920549043,0.005943925233644856,0.0093021978021978,0.08227272727272729,0.006132081686429517,0.004889830508474576,0.23625874125874124,0.0047317073170731715,0.004991191871229116,0.019850139002341144,0.004622130104440601
1702367985,2.003621107921114,8.046253915767299,2.0158368805108893,9.907594683490585,0.9466938194120195,17.86628251132807,12.4234318693692,0.575713151304121,8.604784174809144,7.179337168005158,0.5713996302269959,1.2766122929454564,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,38,64,4,234,4,40,28,4,294.361,48.361,25.487,0,0,0,0.003230311052283256,0.003832748538011695,0.041341145833333336,0.003130930395465835,0.0031422594142259414,0.0748953488372093,0.003073170731707317,0.002489345585908141,0.007270064666520198,0.002364583333333334,0.005943925233644856,0.0093021978021978,0.08227272727272729,0.006132081686429517,0.0048560669456066945,0.23625874125874124,0.0047317073170731715,0.0049858778924108706,0.019563540440523986,0.004611011904761906
1702367986,2.003621107921114,8.046253915767299,1.3632915958158494,10.102318783912635,0.9350781914545939,17.86628251132807,12.4234318693692,0.573468497369384,8.604784174809144,7.179337168005158,0.5719732490992522,1.251429532458801,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,92,138,0,442,0,20,94,0,597.912,107.912,21.988,0,0,0,0.003230311052283256,0.003832748538011695,0.041341145833333336,0.003130930395465835,0.0031422594142259414,0.0748953488372093,0.003073170731707317,0.0024893444842465674,0.0072700724737354725,0.002364591714717853,0.005943925233644856,0.0093021978021978,0.08227272727272729,0.006132081686429517,0.0048560669456066945,0.23625874125874124,0.0047317073170731715,0.004985877942694852,0.019563556496439715,0.004611014168410094
1702367987,2.003621107921114,7.93684382026101,1.3632915958158494,11.683446025322935,0.9350781914545939,17.86628251132807,12.4234318693692,0.573468497369384,8.604784174809144,7.179337168005158,0.5719732490992522,1.251429532458801,99827712,53731328,11550720,75341824,42283008,16158720,58359808,42393600,9244672,46813184,3096576,8998912,76,108,4,318,3.992,68,60,4,716,90,30,0,0,0,0.003230311052283256,0.003832748538011695,0.041341145833333336,0.003130930395465835,0.0031422613525833552,0.0748953488372093,0.0030762711864406778,0.002489345585908141,0.007270064666520198,0.002364583333333334,0.005943925233644856,0.0093021978021978,0.08227272727272729,0.006132081686429517,0.00485607043465004,0.23625874125874124,0.00473728813559322,0.0049858778924108706,0.019563540440523986,0.004611011904761906
1702367988,1.9695236943907672,7.570182779123375,1.3632915958158494,11.683446025322935,0.8989556299706865,17.86628251132807,12.4234318693692,0.573468497369384,8.604784174809144,7.179337168005158,0.5634435553841499,1.251429532458801,99835904,53600256,11550720,75341824,42278912,16158720,58359808,42393600,9244672,46813184,3092480,8998912,50.325,90,0,248,0,34,48,0,456,58,14,0,0,0,0.0032133946158896913,0.003815264948954789,0.04123036649214659,0.0031291223404255318,0.0031422594142259414,0.07428099952852428,0.003073770491803278,0.0024669024301777302,0.007229968578161822,0.0023543717185789113,0.005606796116504856,0.009212970069071375,0.08188679245283018,0.006085279547062989,0.0048560669456066945,0.23322580645161295,0.004732786885245901,0.00493240841494378,0.01912922297297298,0.004594970508286216
1702367989,1.9695236943907672,7.570182779123375,1.3632915958158494,11.683446025322935,0.8989556299706865,15.319493567900782,12.4234318693692,0.49700762402151416,7.036005399986886,7.179337168005158,0.5634435553841499,1.1869185987130826,99835904,53600256,11550720,75341824,42278912,16158720,58359808,42393600,9244672,46813184,3092480,8830976,68,136,2,408,8,66,66,2,758.626,86.397,38,0,0,0,0.003213516160626836,0.0038045602605863192,0.04131016042780749,0.003122951342388879,0.0031265822784810123,0.07428099952852428,0.0030836820083682006,0.002459701356226312,0.007194478278522126,0.002395962732919255,0.005582781456953641,0.00923739653875094,0.08226415094339622,0.005992827868852473,0.004827848101265823,0.23322580645161295,0.0047506276150627615,0.004928709073473675,0.018699999999999994,0.004610869565217392
1702367990,1.5646522314636608,7.570182779123375,1.3632915958158494,11.471349537272529,0.8989556299706865,15.021722192711984,12.4234318693692,0.4874498157320245,7.180734504172567,7.179337168005158,0.5634435553841499,1.1869185987130826,99835904,53600256,11550720,75436032,42278912,16158720,58359808,42393600,9244672,46813184,3092480,8830976,54.145,102,4,266.276,2,42,52,4,506,78,18,0,0,0,0.003213516160626836,0.0038045602605863192,0.04131016042780749,0.003122951342388879,0.0031276595744680856,0.07428099952852428,0.0030836820083682006,0.00244167461290469,0.007183829287392326,0.0023605442176870745,0.005582781456953641,0.00923739653875094,0.08226415094339622,0.005992827868852473,0.004829787234042554,0.23322580645161295,0.0047506276150627615,0.0049046269808836205,0.01864535901926447,0.004600302343159486
