time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,PassthroughCluster_load,adservice_load,cartservice_load,checkoutservice_load,currencyservice_load,emailservice_load,frontend_load,frontend-external_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,emailservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time,PassthroughCluster_error,frontend_error,frontend-external_error
1685538512,3.093384029737109,6.321588963035175,1.1765536262597858,5.402794007703359,0.9298365223118153,18.60906361155503,6.412292588150878,0.4606143899189677,10.317915857866009,10.503810255432317,0.6301309748174052,1.064742146222426,101871616.0,53952512.0,12238848.0,38367232.0,42422272.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,99.451,71.831,3.945,133.49,4.086,32.193,55.888,3.88,474.878,12.024,15.688,0.09662650602409639,0.19843503116981123,0.4711538461538462,0.16880436317477546,0.0046,4.6120474406991265,0.0046,0.2360033732812441,0.31913793103448274,0.04958003971630241,1685538512,0.0,0.0,0.0
1685538513,3.093384029737109,6.321588963035175,1.1765536262597858,5.402794007703359,0.9298365223118153,18.60906361155503,6.412292588150878,0.4606143899189677,10.317915857866009,12.398696880058422,0.6301309748174052,1.064742146222426,101871616.0,53952512.0,12238848.0,38367232.0,42422272.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,3.941,56.322,1.992,91.349,0.0,21.956,21.912,0.0,211.858,38.394,11.742,0.09662650602409639,0.1984348679759077,0.4711538461538462,0.16880398811975672,0.0046,4.6120474406991265,0.0046,0.23600320477709802,0.3191379310344828,0.049579796462867705,1685538513,0.0,0.0,0.0
1685538514,3.093384029737109,6.321588963035175,1.1765536262597858,5.402794007703359,0.9298365223118153,18.60906361155503,6.412292588150878,0.4606143899189677,10.317915857866009,12.398696880058422,0.6301309748174052,0.9904160657005495,101871616.0,53952512.0,12238848.0,38367232.0,42422272.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,12.267,51.225,3.976,225.353,3.992,52.402,47.714,3.996,348.552,76.876,23.833,0.09620938628158845,0.20121718987699835,0.4708333333333334,0.17516746609171271,0.0046,4.612047440699126,0.0046,0.23783299082932408,0.34972222222222216,0.05454535925199369,1685538514,0.0,0.0,0.0
1685538515,3.093384029737109,6.321588963035175,1.1765536262597858,5.069740761536109,0.9156699465682607,18.60906361155503,6.412292588150878,0.4606143899189677,10.317915857866009,11.57431981732469,0.6301309748174052,0.9904160657005495,101871616.0,53952512.0,12238848.0,38367232.0,42418176.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,28.342,38.035,0.0,155.089,0.0,42.084,17.751,0.0,289.484,45.986,1.972,0.09620938628158844,0.20099649531921507,0.4708333333333333,0.17491849017190042,0.0046,4.642236699239956,0.0046,0.2374365426334557,0.3497222222222225,0.05351021488070384,1685538515,0.0,0.0,0.0
1685538516,3.093384029737109,6.321588963035175,1.1765536262597858,5.069740761536109,0.9156699465682607,18.381510438730643,6.412292588150878,0.4606143899189677,10.317915857866009,11.57431981732469,0.6301309748174052,0.9904160657005495,101871616.0,53952512.0,12238848.0,38367232.0,42418176.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,44.465,76.962,0.0,226.451,0.0,48.682,38.462,0.0,301.384,36.392,4.024,0.09620938628158845,0.20099580178429352,0.4708333333333333,0.17491714608376163,0.0046,4.642236699239956,0.0046,0.23743792900511823,0.34972222222222205,0.05350499199884882,1685538516,0.0,0.0,0.0
1685538517,3.093384029737109,6.321588963035175,1.1765536262597858,5.069740761536109,0.9156699465682607,18.381510438730643,6.412292588150878,0.4606143899189677,10.317915857866009,11.57431981732469,0.6301309748174052,0.9904160657005495,101871616.0,53952512.0,12238848.0,38367232.0,42418176.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,76.16,43.991,1.988,202.024,1.988,7.859,8.097,1.988,244.58,14.17,34.015,0.09620938628158845,0.2009956907580329,0.4708333333333334,0.17491693090720242,0.0046,4.642236699239956,0.0046,0.23743772359246146,0.3497222222222221,0.05350415586190695,1685538517,0.0,0.0,0.0
1685538518,3.093384029737109,6.321588963035175,1.1765536262597858,5.069740761536109,0.9156699465682607,18.381510438730643,6.412292588150878,0.4606143899189677,10.317915857866009,11.57431981732469,0.6301309748174052,0.9904160657005495,101871616.0,53952512.0,12238848.0,38367232.0,42418176.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,44.044,36.12,0.0,99.901,0.0,30.0,38.076,0.0,265.909,24.028,18.004,0.09620938628158845,0.20099555485164963,0.4708333333333334,0.17491666750941737,0.0046,4.642236699239956,0.0046,0.23743651550192213,0.3497222222222224,0.053503132346057976,1685538518,0.0,0.0,0.0
1685538519,2.3493934760968482,6.321588963035175,1.1765536262597858,4.910026954087924,0.9156699465682607,18.381510438730643,5.414985159531001,0.4606143899189677,10.317915857866009,11.57431981732469,0.6301309748174052,0.9904160657005495,101871616.0,53952512.0,12238848.0,38293504.0,42418176.0,27377664.0,98459648.0,35647488.0,9682944.0,49098752.0,3051520.0,9420800.0,0.0,31.035,122.102,0.0,340.688,0.0,33.264,44.231,1.961,478.418,72.364,19.495,0.09509803921568627,0.2019718377351165,0.4685483870967742,0.17143896855949117,0.0046,4.642236699239956,0.0046,0.2381323972868289,0.3388586956521738,0.057758748144231035,1685538519,0.0,0.0,0.0
1685538520,2.3033679992948413,6.321588963035175,1.1765536262597858,4.910026954087924,0.9156699465682607,18.381510438730643,5.064311609199184,0.48477379541214705,10.317915857866009,11.57431981732469,0.6183134498438922,0.9999502677166957,101871616.0,53952512.0,12238848.0,38293504.0,42418176.0,27377664.0,98459648.0,35172352.0,9682944.0,49098752.0,3055616.0,9408512.0,0.0,31.663,46.947,3.942,148.759,3.988,22.0,27.184,3.992,331.964,82.279,25.883,0.09509803921568627,0.20186542019891204,0.46854838709677415,0.17113916648421837,0.004600000000000001,4.635799404170804,0.004600000000000001,0.23779392204028266,0.33885869565217414,0.05676118033098573,1685538520,0.0,0.0,0.0
1685538521,2.7321088151368413,6.321588963035175,1.2450877096485933,4.910026954087924,0.9156699465682607,18.381510438730643,4.962793916676247,0.48477379541214705,9.895376247030615,11.57431981732469,0.6183134498438922,0.9999502677166957,101871616.0,53952512.0,12107776.0,38293504.0,42418176.0,27377664.0,98459648.0,35172352.0,9682944.0,49098752.0,3055616.0,9408512.0,0.0,0.0,9.96,0.0,80.409,0.0,13.514,13.944,0.0,282.849,62.523,0.0,0.0950980392156863,0.20186597221502914,0.4685483870967742,0.17114029340032408,0.004600000000000001,4.635799404170805,0.004600000000000001,0.23779672086738468,0.33885869565217397,0.056765558141589366,1685538521,0.0,0.0,0.0
