time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692706068,2.483022700490996,6.610868639852803,0.8894832268829163,7.002796576820107,0.6560660920510166,15.224171830985908,5.4677629667948136,0.4425405019494434,7.41759854046697,4.898024094602516,0.32448055920114127,0.9095847309733047,88596480,40222720,9768960,39362560,41656320,14151680,52666368,22290432,8876032,43216896,3031040,8433664,64,70,0,296,0,38,42,0,328,42,8.048,0,0.001836820083682008,0.0020324452651015565,0.02056818181818182,0.0014894322813003504,0.002922330097087379,0.022024580792682928,0.0029333333333333334,0.00032004994179715376,0.0033090062111801244,0.0004905555555555555,0.004435797303579729,0.004597256660511738,0.04192622950819673,0.004393119135626953,0.0046,0.07589972527472537,0.004586666666666666,0.003257457178665923,0.006730504587155964,0.004206511627906977
1692706069,2.483022700490996,6.610868639852803,0.8894832268829163,7.002796576820107,0.6560660920510166,15.224171830985908,5.575693542530992,0.4425405019494434,7.41759854046697,4.898024094602516,0.3253325528007346,0.9095847309733047,88596480,40222720,9768960,39362560,41656320,14151680,52666368,22290432,8876032,43216896,3035136,8433664,58,76,2,246,0,46,44,0,488,66,16,0,0.0017594361073215094,0.0020324452651015565,0.02056818181818182,0.0014894322813003504,0.002922330097087379,0.022024580792682928,0.0029333333333333334,0.00032004994179715376,0.0033090062111801244,0.0004905555555555555,0.0044202819463392455,0.004597256660511738,0.04192622950819673,0.004393119135626953,0.0046,0.07589972527472537,0.004586666666666666,0.003257457178665923,0.006730504587155964,0.004206511627906977
1692706070,2.483022700490996,6.610868639852803,0.8894832268829163,6.938821967386202,0.5646742630224988,15.224171830985908,6.4758345441707235,0.4425405019494434,7.408735154183062,4.898024094602516,0.3253325528007346,0.9095847309733047,88596480,40222720,9768960,40099840,41656320,14151680,52666368,22290432,9121792,43216896,3035136,8433664,58,68,0,314,0,42,38,0,388,52,12,0,0.0017594361073215094,0.0020324452651015565,0.02056818181818182,0.0015296741660201704,0.002920398009950249,0.022024580792682928,0.0029333333333333334,0.00032004994179715376,0.0033090062111801244,0.0004905555555555555,0.0044202819463392455,0.004597256660511738,0.04192622950819673,0.004384755624515128,0.0046,0.07589972527472537,0.004586666666666666,0.003257457178665923,0.006730504587155964,0.004206511627906977
1692706071,2.483022700490996,6.610868639852803,0.8538062031082523,6.938821967386202,0.5537398281549818,15.224171830985908,6.4758345441707235,0.38224312927965964,7.408735154183062,4.898024094602516,0.3253325528007346,0.9095847309733047,88596480,40222720,9768960,40099840,41656320,14151680,52666368,22290432,9121792,43216896,3035136,8433664,54,100,8,304,6,46,52,4,566,76,28,0,0.0016705202312138725,0.001878787878787879,0.020692567567567564,0.0012732957457713997,0.002923444976076555,0.021598502304147466,0.0029245283018867925,0.0003154340589968244,0.0032339818417639428,0.00047811447811447805,0.0043818882466281316,0.004457741046831955,0.04217213114754098,0.004301240389543824,0.0046,0.06369912790697675,0.004584905660377359,0.003099985182990073,0.00527127659574468,0.004185130111524164
1692706072,2.483022700490996,6.610868639852803,0.8538062031082523,6.938821967386202,0.6389475933345949,15.218205078410826,6.4758345441707235,0.3748674542471689,7.408735154183062,4.898024094602516,0.3253325528007346,0.8860208150470221,88596480,40222720,9768960,40099840,41660416,14155776,52666368,22290432,9121792,43216896,3035136,8179712,64,116,6,302,6,58,52,8,586,72,40.182,0,0.0017525819488100583,0.0019444444444444444,0.020714285714285716,0.0014004178934371736,0.002923444976076555,0.021559179186515204,0.0029245283018867925,0.00031321965934591467,0.0032356751370204283,0.0004890939597315436,0.004395060619667714,0.004467808930425752,0.0421875,0.00432354449615348,0.0046,0.06260683760683763,0.004584905660377359,0.003041978216073003,0.005305276381909549,0.004204240282685513
1692706073,2.483022700490996,6.610868639852803,0.8538062031082523,6.938821967386202,0.6389475933345949,15.218205078410826,6.4758345441707235,0.3674917792146782,7.408735154183062,4.898024094602516,0.3253325528007346,0.8860208150470221,88596480,40222720,9768960,40099840,41660416,14155776,52666368,22290432,9121792,43216896,3035136,8179712,62,124,2,340,2,60,56,0,758,102,28,0,0.0017896440129449842,0.0019444444444444444,0.020714285714285716,0.0014004178934371736,0.002923444976076555,0.021559179186515204,0.0029245283018867925,0.00031321965934591467,0.0032356751370204283,0.0004890939597315436,0.004402311604253352,0.004467808930425752,0.0421875,0.00432354449615348,0.0046,0.06260683760683763,0.004584905660377359,0.003041978216073003,0.005305276381909549,0.004204240282685513
1692706074,2.562717412751825,6.610868639852803,0.8538062031082523,6.938821967386202,0.6158815883120048,15.218205078410826,6.4758345441707235,0.43375925428463974,7.408735154183062,4.898024094602516,0.3253325528007346,0.8860208150470221,88096768,40222720,9768960,40099840,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,70,134,6,406,6,72,60,10,692,92,48,0,0.0016985428051001822,0.0019444444444444444,0.020714285714285716,0.0014004178934371736,0.002923444976076555,0.021559179186515204,0.0029245283018867925,0.00031321965934591467,0.0032356751370204283,0.0004890939597315436,0.004383424408014573,0.004467808930425752,0.0421875,0.00432354449615348,0.0046,0.06260683760683763,0.004584905660377359,0.003041978216073003,0.005305276381909549,0.004204240282685513
1692706075,2.562717412751825,6.610868639852803,0.8538062031082523,6.938821967386202,0.6158815883120048,15.218205078410826,6.4758345441707235,0.43375925428463974,7.408735154183062,4.898024094602516,0.3253325528007346,0.8860208150470221,88096768,40222720,9768960,40099840,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,70,98,2,284,2,56,44,0,604,80,12,0,0.0016985428051001822,0.0019444444444444444,0.020714285714285716,0.0015056545907609733,0.002929292929292929,0.021559179186515204,0.0029245283018867925,0.00031321965934591467,0.0032356751370204283,0.0004890939597315436,0.004383424408014573,0.004467808930425752,0.0421875,0.004338547057695994,0.004602020202020202,0.06260683760683763,0.004584905660377359,0.003041978216073003,0.005305276381909549,0.004204240282685513
1692706076,2.562717412751825,6.687698746714409,0.8538062031082523,6.938821967386202,0.6158815883120048,15.218205078410826,5.6473594448198146,0.43375925428463974,7.408735154183062,4.898024094602516,0.3253325528007346,0.8860208150470221,88096768,40030208,9768960,40099840,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,62,72,2,342,2,48,54,4,374,46,22,0,0.0015973645680819914,0.0018533772652388797,0.020318791946308725,0.001239695754959399,0.0029326923076923076,0.02132727613338329,0.002932038834951456,0.00030995950344409956,0.0032022068257634077,0.0004756235827664399,0.00435070766227428,0.004417243272926963,0.04143518518518518,0.004280501593175043,0.004601923076923077,0.05584260731319561,0.004586407766990291,0.002952232142857139,0.004963972286374135,0.0041727272727272715
1692706077,2.562717412751825,6.687698746714409,0.8538062031082523,6.938821967386202,0.6158815883120048,15.218205078410826,5.539428869083635,0.43375925428463974,7.408735154183062,4.9411955548623565,0.3253325528007346,0.8860208150470221,88096768,40030208,9768960,40099840,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,80,150,4,388,2,82,72,6,790,106,46,0,0.0016914363389216134,0.0019278191625995383,0.020422077922077925,0.001373670212765957,0.0029326923076923076,0.02125400213447172,0.002932038834951456,0.0003093099334875651,0.0032056441717791414,0.0004873453318335208,0.004368735840507478,0.004429951194451581,0.04163793103448275,0.004305433130699089,0.004601923076923077,0.05518461538461534,0.004586407766990291,0.0029348736906962434,0.004970159509202455,0.004193809523809523
1692706078,2.5627174127518253,6.687698746714409,0.8538062031082523,6.938821967386204,0.6158815883120048,15.218205078410826,5.431498293347457,0.44419591107314643,7.408735154183062,4.9411955548623565,0.3253325528007346,0.8860208150470221,88096768,40030208,9768960,40099840,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,60,102,4,258,4,52,58,0,662,84,22.048,0,0.001768236380424746,0.0019278191625995383,0.020422077922077925,0.001373670212765957,0.0029326923076923076,0.02125400213447172,0.002932038834951456,0.0003093099334875651,0.0032056441717791414,0.0004873453318335208,0.004384672206832872,0.004429951194451581,0.04163793103448275,0.004305433130699089,0.004601923076923077,0.05518461538461534,0.004586407766990291,0.0029348736906962434,0.004970159509202455,0.004193809523809523
1692706079,2.5627174127518253,6.687698746714409,0.8538062031082523,6.975730776059777,0.6158815883120048,15.218205078410826,5.323567717611279,0.44419591107314643,7.408735154183062,4.9411955548623565,0.3253325528007346,0.8860208150470221,88096768,40030208,9768960,40099840,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,58,80,0,214,0,48,40,0,470,66,16,0,0.0016636363636363637,0.0019278191625995383,0.020422077922077925,0.001373670212765957,0.0029326923076923076,0.02125400213447172,0.002932038834951456,0.0003093099334875651,0.0032056441717791414,0.0004873453318335208,0.004364727272727273,0.004429951194451581,0.04163793103448275,0.004305433130699089,0.004601923076923077,0.05518461538461534,0.004586407766990291,0.0029348736906962434,0.004970159509202455,0.004193809523809523
1692706080,2.5627174127518253,6.687698746714409,0.8538062031082523,6.977282495458493,0.6158815883120048,15.218205078410826,5.215637141875099,0.44419591107314643,7.408735154183062,4.9411955548623565,0.3253325528007346,0.8860208150470221,88096768,40030208,9768960,42799104,41660416,14155776,52666368,22663168,9121792,43216896,3035136,8179712,58,124,2,398,2,62,70,0,630,76,32,0,0.0016636363636363637,0.0019278191625995383,0.020422077922077925,0.0014925172678434387,0.002949748743718593,0.02125400213447172,0.002932038834951456,0.0003093099334875651,0.0032056441717791414,0.0004873453318335208,0.004364727272727273,0.004429951194451581,0.04163793103448275,0.0043295088257866475,0.004606030150753769,0.05518461538461534,0.004586407766990291,0.0029348736906962434,0.004970159509202455,0.004193809523809523
