time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692615682,0.8567335077235214,4.8879792668829944,0.9365717503151039,8.035343436699245,0.5970363541740525,14.923518142865994,7.520450520290238,0.34901065115107976,7.144199118284497,4.785243999111359,0.3209116555625892,0.9390915131403326,94621696,40906752,11399168,40505344,42094592,18046976,72282112,39534592,9375744,47398912,3067904,9154560,56,66,0,308,0,54,34,0,464,62,22,0,0,0,0.0003367327117327117,0.001929198682766191,0.021793103448275862,0.0018188463232056363,0.002597883597883598,0.023921232876712332,0.0015714285714285715,0.00032715876669468536,0.003821475625823451,0.000397787610619469,0.0034973714285714288,0.004558836443468715,0.0478030303030303,0.004502985468956407,0.0045195767195767185,0.2270114942528741,0.004314285714285714,0.0038954918564332638,0.011415492957746515,0.0039277361319340325
1692615683,0.8396236468672925,4.8879792668829944,0.9365717503151039,8.035343436699245,0.5970363541740525,14.923518142865994,7.520450520290238,0.34901065115107976,7.144199118284497,5.731860358533979,0.3209116555625892,0.9390915131403326,94621696,40906752,11399168,40505344,42094592,18046976,72282112,39534592,9375744,47398912,3067904,9154560,42,72,0,270,0,30,42,0,390,54,20,0,0,0,0.00033513211760327497,0.001929198682766191,0.021793103448275862,0.0018009193776520513,0.002597883597883598,0.023921232876712332,0.0015714285714285715,0.0003288222865763328,0.003804032766225583,0.000397787610619469,0.0034740245261984386,0.004558836443468715,0.0478030303030303,0.004505304101838756,0.0045195767195767185,0.2270114942528741,0.004314285714285714,0.003914158577081185,0.011184210526315956,0.0039277361319340325
1692615684,0.8225137860110636,4.8879792668829944,0.9365717503151039,7.975257410277871,0.5970363541740525,14.923518142865994,7.520450520290238,0.3106090852904728,7.389693458196909,5.731860358533979,0.3209116555625892,0.9390915131403326,94621696,40906752,11399168,41734144,42094592,18046976,72282112,39534592,9375744,47398912,3067904,9154560,44,112,4,266,4,36,54,2,588,78,34,0,0,0,0.00033178338459631746,0.0018701936976004622,0.021586206896551722,0.0017282099343955016,0.002597883597883598,0.02334974315068493,0.0016616541353383463,0.00031919176718410864,0.0037126654064272213,0.0003993445692883895,0.003425424121225022,0.004553512575888985,0.04643939393939394,0.004498594189315839,0.0045195767195767185,0.13013953488372088,0.00433233082706767,0.0033641234603444484,0.009245454545454545,0.003935007849293563
1692615685,1.012811213977222,4.413713748396107,0.9365717503151039,7.975257410277871,0.5970363541740525,14.923518142865994,7.520450520290238,0.3106090852904728,7.389693458196909,5.731860358533979,0.34049193071888245,0.9390915131403326,94621696,40910848,11399168,41734144,42094592,18046976,72282112,39534592,9375744,47398912,3067904,9154560,66,84,2,394,2,72,60,4,520,66,24,0,0,0,0.00033385764083141925,0.0019473077056875148,0.021689697997161334,0.0018008806051407244,0.0025977734732043865,0.023097435450760706,0.0016373995371958738,0.00031527048398280764,0.0037182704811922224,0.0003965411996580366,0.003453592332029456,0.004559409985165052,0.04647048562217056,0.00450492900742122,0.004519554694640877,0.1146360493929121,0.0043274799074391745,0.003264134419326646,0.009213089704439207,0.003921946544040872
1692615686,1.012811213977222,5.222763307802239,0.9365717503151039,7.975257410277871,0.5970363541740525,14.923518142865994,7.520450520290238,0.3106090852904728,7.389693458196909,5.758035856070984,0.34049193071888245,0.9468139672047747,94621696,40910848,11399168,41734144,42094592,18046976,72282112,39534592,9375744,47398912,3067904,9154560,42.482,74,6,260,6,51.485,42,4,496,64,36.295,0,0,0,0.0003338916405414286,0.00194629695240275,0.02142865837008233,0.0018019023920244767,0.0026123603142591653,0.02248461336853945,0.001608495468010743,0.0003152719359081456,0.0037186217588215946,0.000395619094903598,0.0034540880292677567,0.004559385690582846,0.04450022137111721,0.004505149995479628,0.004522472062851834,0.08657048083072172,0.004321699093602149,0.0032601334841619797,0.009213366279130752,0.003917644931155014
1692615687,1.012811213977222,5.222763307802239,0.9841031554456922,7.975257410277871,0.6102503754727657,14.923518142865994,7.520450520290238,0.3106090852904728,7.389693458196909,5.758035856070984,0.34049193071888245,0.9468139672047747,94621696,40910848,11399168,41734144,42094592,18046976,72282112,39534592,9375744,47398912,3067904,9154560,43.912,91.742,4.02,254.141,2.02,41.833,46,3.954,518.872,70.75,34.008,0,0,0,0.0003370267250847645,0.0019476317052879242,0.02142857142857143,0.0018024718145600832,0.002600479694557684,0.022429963360428344,0.001603344063325355,0.0003137316470520742,0.0036526137209283113,0.0003957564702814775,0.0034987100236691204,0.004559583969201403,0.0445,0.004505249241556678,0.004520095938911536,0.08554387011281447,0.00432066881266507,0.003188180615314281,0.008675726657308204,0.003918292863810557
1692615688,1.012811213977222,5.222763307802239,0.9841031554456922,7.975257410277871,0.6102503754727657,14.923518142865994,7.520450520290238,0.3106090852904728,7.260559424608889,5.758035856070984,0.34049193071888245,0.9468139672047747,94621696,40910848,11399168,41734144,42094592,18046976,72282112,39534592,9310208,47398912,3067904,9154560,78.655,174.777,14.073,408.065,14.122,58.35,76.923,12.237,890.073,119.05,51.047,0,0,0,0.00033231173429631983,0.001946848218506264,0.021428452585024273,0.00176866879659595,0.002600146422813851,0.022430107600766625,0.0016106089273567933,0.00031543039478650666,0.0036276596659703553,0.00039572592976208355,0.00343160248076786,0.004559464879637103,0.044499697387695096,0.004500809081774056,0.004520029284562771,0.0855406847677543,0.004322121785471358,0.003227522941517579,0.008601678175557825,0.003918148140092849
1692615689,1.0159493676112665,5.222763307802239,0.9841031554456922,7.975257410277871,0.6102503754727657,14.923518142865994,7.520450520290238,0.3106090852904728,7.260559424608889,5.758035856070984,0.34049193071888245,0.9468139672047747,94621696,40910848,11399168,41734144,42094592,18046976,72282112,39534592,9310208,47398912,3067904,9154560,46,84,6,278,6,54,46,10,534,66,40,0,0,0,0.00032568322775926377,0.001886017800746483,0.021276595744680854,0.0016787330489339161,0.0026,0.02213358626198083,0.0017786259541984733,0.00031180681440845997,0.0035738974970202625,0.0003978672985781991,0.0033076564840159813,0.004557278208440999,0.0435820895522388,0.004472825647661859,0.00452,0.07837087087087094,0.004355725190839694,0.0030093809726747427,0.008266297662976636,0.003928410914927768
1692615690,1.0159493676112665,5.222763307802239,0.9858495564031091,7.975257410277871,0.6102503754727657,14.923518142865994,7.520450520290238,0.266864972445398,7.260559424608889,5.758035856070984,0.34049193071888245,0.9468139672047747,94621696,40910848,11550720,41734144,42094592,18046976,72282112,39534592,9310208,47398912,3067904,9154560,42,88,4,234.99,4,28,38,2,428,58,22,0,0,0,0.0003288941954445261,0.0019229525862068965,0.021426174496644294,0.0017755424756215415,0.0026,0.022134959969500573,0.0015970149253731344,0.0003092613009922822,0.00359844782983616,0.0003890770533446232,0.0033599528857479397,0.004552693965517241,0.04368243243243243,0.004487235350961962,0.00452,0.07829787234042557,0.004319402985074627,0.002938148091835181,0.008316441441441441,0.0038853658536585367
1692615691,1.0159493676112665,5.222763307802239,0.9858495564031091,7.975257410277871,0.6102503754727657,15.167949113450552,7.520450520290238,0.26168815435722337,7.260559424608889,5.758035856070984,0.32786692757208336,0.9468139672047747,94621696,40910848,11550720,41734144,42094592,18046976,72282112,39534592,9310208,47398912,3072000,9154560,56.133,116,4,304,4,54,64,4.107,770,102,44,0,0,0,0.0003288727917950847,0.0019250201558720773,0.02155,0.0017782258064516134,0.0026084656084656085,0.022078621804242332,0.0016376811594202901,0.0003094480207703525,0.00359844782983616,0.000390770533446232,0.0033596038270253736,0.004551840902983069,0.0437987012987013,0.004487482468443199,0.004521693121693122,0.07760868454801555,0.004327536231884059,0.0029434374052743247,0.008316441441441441,0.0038939759036144576
