time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692666727,1.0157542368859054,4.746959198758075,0.9112676495331272,6.882917093211403,0.6009356063737891,14.337533933688754,4.449766375000763,0.35992822465235585,6.69563925344588,4.987597151564331,0.3085798915184773,0.8410470757357742,97484800,44220416,14196736,46739456,42164224,21954560,131264512,38252544,12345344,47689728,3088384,9265152,48,112,10,348,10,70,62,10,742,96,64,0,0,0,0,0.0003749487074271646,0.0021188513693166707,0.021751968503937007,0.001788357748650733,0.0024777070063694267,0.024370041997200186,0.0022413793103448275,0.0003387372487250215,0.0038182107609041702,0.0004008579599618685,0.003934595524956972,0.004660303110874767,0.044154411764705886,0.0045763299922899,0.004495541401273886,0.20937984496124046,0.004448275862068966,0.0037006223541609807,0.019377049180327875,0.003941772151898734
1692666728,1.0157542368859054,4.746959198758075,0.9112676495331272,6.882917093211403,0.6009356063737891,14.337533933688754,4.449766375000763,0.35992822465235585,6.69563925344588,4.987597151564331,0.3085798915184773,0.7492232919980713,97484800,44220416,14196736,46739456,42164224,21954560,131264512,38252544,12345344,47689728,3088384,9265152,50,60,0,146,0,30,30,0,420,60,8,0,0,0,0,0.0003759640102827764,0.002124735729386892,0.021809701492537314,0.0016522112904766458,0.0025375722543352604,0.024301781737193762,0.0022993630573248406,0.00033745483741469287,0.0037843393148450245,0.00040657769304099144,0.003946428571428572,0.004660887949260042,0.04414383561643835,0.0045474639411596145,0.004507514450867052,0.1994999999999999,0.004459872611464968,0.0036758,0.016803225806451636,0.003965853658536586
1692666729,1.0157542368859054,4.746959198758075,0.9112676495331272,6.882917093211403,0.6009356063737891,14.337533933688754,5.268644719475795,0.3599282246523559,6.734910723553909,5.0233858667836655,0.3085798915184773,0.7639293236389652,97484800,44220416,14196736,46739456,42164224,21954560,131264512,38252544,11956224,47685632,3088384,9265152,62,104,4,310,4,56,52,4,598,76,30,0,0,0,0,0.00036978111066072154,0.002124735729386892,0.021809701492537314,0.0016522112904766458,0.0025375722543352604,0.024301781737193762,0.0022993630573248406,0.00033927137695704537,0.0037439851943244905,0.00040657769304099144,0.003902664298401422,0.004660887949260042,0.04414383561643835,0.0045474639411596145,0.004507514450867052,0.1994999999999999,0.004459872611464968,0.003696577017114916,0.015178343949044533,0.003965853658536586
1692666730,0.8934383813729007,4.746959198758075,0.9112676495331272,7.104416770377783,0.6219568798744614,14.337533933688754,6.567150378385568,0.35896194645238205,6.734910723553909,5.0233858667836655,0.3085798915184773,0.88236189845363,97484800,44220416,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9265152,78,104,0,280,0,56,54,2,562,84,12,0,0,0,0,0.00036978111066072154,0.002124735729386892,0.021809701492537314,0.0016522112904766458,0.0025375722543352604,0.024301781737193762,0.0022993630573248406,0.0003409473329968029,0.0037439851943244905,0.0004146403242147923,0.003902664298401422,0.004660887949260042,0.04414383561643835,0.0045474639411596145,0.004507514450867052,0.1994999999999999,0.004459872611464968,0.003725485253340056,0.015178343949044533,0.003997226502311248
1692666731,0.8826651859290068,4.746959198758075,0.9112676495331272,7.104416770377783,0.6219568798744614,14.337533933688754,6.567150378385568,0.35896194645238205,6.990877182623373,5.0233858667836655,0.3085798915184773,0.88236189845363,97484800,44220416,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9265152,42,80,6,272,6,36,48,4,462,60,24,0,0,0,0,0.00036462197704222363,0.0020652463382157126,0.021801470588235294,0.0016455576559546313,0.0025375722543352604,0.023884698275862072,0.002302631578947368,0.00033046043947511453,0.0036933493830875715,0.0004047842401500938,0.003867313092209327,0.004632063914780293,0.044121621621621615,0.004510586011342155,0.004507514450867052,0.17158892128279885,0.004460526315789474,0.0035374366965329183,0.00994039270687237,0.003958421851289833
1692666732,0.865624604709155,4.746959198758075,0.9112676495331272,7.104416770377783,0.6219568798744614,14.337533933688754,6.567150378385568,0.35896194645238205,6.990877182623373,5.0233858667836655,0.26195947007459264,0.88236189845363,97484800,44220416,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9265152,70,140,14,420,14,76,66,14,666,90,50,0,0,0,0,0.00036463074957476864,0.002062154608196593,0.021761424529617525,0.0016966073255574425,0.002517862388201809,0.0235196340805553,0.002194303704623162,0.00033027425616139063,0.003693442829941265,0.00040146921494191534,0.003867386645328146,0.0046322473967385595,0.04411976480621942,0.00451309879056806,0.004503572477640362,0.1489169276701428,0.004438860740924632,0.0035347974873786276,0.009940416434171895,0.003944358444222717
1692666733,0.8485840234893034,4.746959198758075,0.9112676495331272,7.104416770377783,0.6219568798744614,14.337533933688754,6.567150378385568,0.3463871147874619,6.990877182623373,5.0233858667836655,0.3119049639906905,0.88236189845363,97484800,44220416,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9265152,52,90,4,228,4,36,42,2,536,70,18,0,0,0,0,0.00036929717344121434,0.0020669269195631133,0.02167861715049316,0.0015837295227203506,0.0025357728005298225,0.02340772988555855,0.00224986001321677,0.00032875463767323247,0.003669465499484228,0.00040663392532425564,0.003904698317751014,0.004631952893194009,0.043986534035006394,0.004488481833899277,0.004507154560105965,0.13555163135848933,0.004449972002643355,0.0034990332605875463,0.009712650107652402,0.003966009295294191
1692666734,0.8315434422694516,4.06323884216362,0.9112676495331271,7.104416770377783,0.6219568798744614,14.337533933688754,6.567150378385568,0.3463871147874619,6.990877182623373,5.0233858667836655,0.3119049639906905,0.770164681054704,97484800,44220416,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9265152,62,120,6,366,6,62,62,8,708,94,50,0,0,0,0,0.0003624605055292259,0.002067233590220568,0.02167857142857143,0.001584515139900345,0.0025359116022099447,0.02340785624738822,0.00225,0.00033069337681497014,0.003634046293583358,0.00040666041275797373,0.0038509695290858724,0.004631995748073345,0.04398648648648648,0.004488616328095056,0.00450718232044199,0.13554794520547966,0.004449999999999999,0.0035273242338398174,0.009576700434153403,0.003966116941529235
1692666735,0.8145028610495999,3.984122855517653,0.9112676495331271,7.104416770377783,0.6219568798744614,14.337533933688754,6.567150378385568,0.34638711478746187,6.990877182623373,4.995162702168239,0.3119049639906905,0.7554586494138102,97484800,44220416,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9265152,78,116,4,364,4,52,64,2,688,88,24,0,0,0,0,0.0003624605055292259,0.002067233590220568,0.02167857142857143,0.001584515139900345,0.0025359116022099447,0.02340785624738822,0.00225,0.0003319308135290778,0.003634046293583358,0.0004147670961347869,0.0038509695290858724,0.004631995748073345,0.04398648648648648,0.004488616328095056,0.00450718232044199,0.13554794520547966,0.004449999999999999,0.003552555422806321,0.009576700434153403,0.003997590361445783
1692666736,1.0605877536972728,5.116869996329271,0.9112676495331271,7.104416770377783,0.6219568798744614,11.875020408315724,6.567150378385568,0.34638711478746187,6.990877182623373,4.995162702168239,0.3119049639906905,0.8907190787708451,97484800,44261376,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9101312,60,98,4,300,4,48,50,4,522,72,16,0,0,0,0,0.0003576982892690513,0.002034299388460516,0.021741379310344824,0.0016004548900682334,0.0025359116022099447,0.022820844958150663,0.0022484076433121015,0.0003201538231780168,0.003556373937677054,0.0004018181818181818,0.0038163653663177916,0.004622972613666578,0.04400641025641025,0.004490523123578468,0.00450718232044199,0.09758356545960996,0.004449681528662421,0.0033137032842582128,0.008984984984984984,0.003941317365269461
1692666737,1.0605877536972728,5.116869996329271,0.9112676495331271,7.104416770377783,0.6219568798744614,12.117827362464972,6.567150378385568,0.34638711478746187,6.990877182623373,4.995162702168239,0.3119049639906905,0.8907190787708451,97484800,44261376,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9101312,66,120,6,358,6,54,58,6,606,82,38,0,0,0,0,0.0003576982892690513,0.0020312083222192587,0.021755319148936175,0.0016259378349410508,0.00252,0.022382671480144407,0.002141025641025641,0.0003200044802867383,0.003556373937677054,0.0003990909090909091,0.0038163653663177916,0.0046230461456388365,0.0437987012987013,0.004482958199356913,0.004503999999999999,0.08887769784172664,0.004428205128205128,0.003310455383742374,0.008984984984984984,0.003929268292682927
1692666738,1.0605877536972728,5.116869996329271,0.6777282904419336,7.104416770377783,0.6219568798744614,14.568417248954773,6.567150378385568,0.34638711478746187,6.990877182623373,4.995162702168239,0.3119049639906905,0.8907190787708451,97484800,44261376,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9101312,104,102,0,432,0,76,66,0,626,80,14,0,0,0,0,0.0003565490673154907,0.002037370792472833,0.02165,0.0014984056430573003,0.0025578947368421054,0.02230253067484662,0.0022023809523809526,0.00031846438172043013,0.0035037681159420294,0.0004045454545454546,0.003814084507042254,0.004622899549430161,0.04365625,0.004457377524398492,0.00451157894736842,0.08729078014184397,0.004440476190476191,0.0032611527377521625,0.008430926216640513,0.003952941176470589
1692666739,1.060587753697273,5.116869996329271,0.6913493953482395,7.104416770377783,0.5234510037083443,14.568417248954773,6.567150378385568,0.34638711478746187,6.990877182623373,4.995162702168239,0.3119049639906905,0.8907190787708451,97484800,44261376,14196736,42995712,42164224,21954560,131264512,37892096,11956224,47685632,3088384,9101312,50,76,0,166,0,26,36,0,384,62,6,0,0,0,0,0.0003505714285714286,0.002037370792472833,0.02165,0.0014984056430573003,0.0025578947368421054,0.02230253067484662,0.0022023809523809526,0.00032017249103942654,0.0034824924179762892,0.0004045454545454546,0.0037571142284569155,0.004622899549430161,0.04365625,0.004457377524398492,0.00451157894736842,0.08729078014184397,0.004440476190476191,0.0032958719460825635,0.008303265940902025,0.003952941176470589
